"Liver.Cell.Group","Gene","Log2FC.infected.vs.uninfected"
"135","Cholangiocyte (EPCAM+/bilary)","PXDC1",2.96089356
"136","Cholangiocyte (EPCAM+/bilary)","PLK2",2.933760393
"137","Cholangiocyte (EPCAM+/bilary)","HOGA1",2.911958349
"138","Cholangiocyte (EPCAM+/bilary)","CA2",2.897431606
"139","Cholangiocyte (EPCAM+/bilary)","RAB17",2.861012876
"140","Cholangiocyte (EPCAM+/bilary)","LDOC1",2.845161944
"141","Cholangiocyte (EPCAM+/bilary)","AHCY",2.778792069
"142","Cholangiocyte (EPCAM+/bilary)","CTSH",2.774350841
"143","Cholangiocyte (EPCAM+/bilary)","ACAA2",2.70793416
"144","Cholangiocyte (EPCAM+/bilary)","HADHB",2.698119712
"145","Cholangiocyte (EPCAM+/bilary)","FGFR4",2.652370988
"146","Cholangiocyte (EPCAM+/bilary)","COMT",2.630958447
"147","Cholangiocyte (EPCAM+/bilary)","ANXA4",2.625730408
"148","Cholangiocyte (EPCAM+/bilary)","CHCHD2",2.611856767
"149","Cholangiocyte (EPCAM+/bilary)","GJB1",2.574579177
"150","Cholangiocyte (EPCAM+/bilary)","TMED10",2.572875354
"151","Cholangiocyte (EPCAM+/bilary)","C11orf54",2.554860004
"152","Cholangiocyte (EPCAM+/bilary)","SERPINA3",2.461563484
"153","Cholangiocyte (EPCAM+/bilary)","SMARCD2",2.445555493
"154","Cholangiocyte (EPCAM+/bilary)","TAGLN2",2.403817872
"155","Cholangiocyte (EPCAM+/bilary)","LGALS3",2.337176889
"156","Cholangiocyte (EPCAM+/bilary)","SDC4",2.315266898
"157","Cholangiocyte (EPCAM+/bilary)","HNRNPK",2.294941159
"158","Cholangiocyte (EPCAM+/bilary)","TNKS1BP1",2.28405269
"159","Cholangiocyte (EPCAM+/bilary)","DCPS",2.265440575
"160","Cholangiocyte (EPCAM+/bilary)","TMEM59",2.258183978
"161","Cholangiocyte (EPCAM+/bilary)","ALDH1B1",2.255326052
"162","Cholangiocyte (EPCAM+/bilary)","FKBP4",2.247107888
"163","Cholangiocyte (EPCAM+/bilary)","LURAP1L",2.242928631
"164","Cholangiocyte (EPCAM+/bilary)","MYL12B",2.206287055
"165","Cholangiocyte (EPCAM+/bilary)","MORF4L2",2.199566313
"166","Cholangiocyte (EPCAM+/bilary)","RBBP7",2.181818204
"167","Cholangiocyte (EPCAM+/bilary)","HADHA",2.165843563
"168","Cholangiocyte (EPCAM+/bilary)","SERPINA5",2.15434318
"169","Cholangiocyte (EPCAM+/bilary)","VMP1",2.147136988
"170","Cholangiocyte (EPCAM+/bilary)","IRF6",2.142565452
"171","Cholangiocyte (EPCAM+/bilary)","SPP1",2.116215837
"172","Cholangiocyte (EPCAM+/bilary)","PLPP2",2.114033322
"173","Cholangiocyte (EPCAM+/bilary)","MYL12A",2.099921517
"174","Cholangiocyte (EPCAM+/bilary)","LAMP2",2.09885527
"175","Cholangiocyte (EPCAM+/bilary)","CCL2",2.039112907
"176","Cholangiocyte (EPCAM+/bilary)","MTCH1",2.033947961
"177","Cholangiocyte (EPCAM+/bilary)","LGR4",1.969830104
"178","Cholangiocyte (EPCAM+/bilary)","EGR1",1.840237954
"179","Cholangiocyte (EPCAM+/bilary)","STAT1",1.828773716
"180","Cholangiocyte (EPCAM+/bilary)","LAMB1",1.753755134
"181","Cholangiocyte (EPCAM+/bilary)","FOXA2",1.482441839
"182","Cholangiocyte (EPCAM+/bilary)","FOS",1.460266312
"183","Cholangiocyte (EPCAM+/bilary)","JUN",1.446510059
"184","Cholangiocyte (EPCAM+/bilary)","FOXA1",1.434120051
"185","Cholangiocyte (EPCAM+/bilary)","FGFR2",1.414774031
"186","Cholangiocyte (EPCAM+/bilary)","NENF",-3.565051026
"187","Cholangiocyte (EPCAM+/bilary)","USH1C",-2.714472955
"188","Cholangiocyte (EPCAM+/bilary)","IQCA1",-2.442030688
"189","Cholangiocyte (EPCAM+/bilary)","MGLL",-2.432650744
"190","Cholangiocyte (EPCAM+/bilary)","TOB2",-2.273157133
"191","Cholangiocyte (EPCAM+/bilary)","KLF6",-2.213479236
"192","Cholangiocyte (EPCAM+/bilary)","EIF5",-2.072631449
"193","Endothelial, stellate, and myofibroblast","TM4SF1",4.056724852
"194","Endothelial, stellate, and myofibroblast","QSOX1",3.776714883
"195","Endothelial, stellate, and myofibroblast","ISG15",3.508267544
"196","Endothelial, stellate, and myofibroblast","IGF1",3.225062956
"197","Endothelial, stellate, and myofibroblast","ACTA2",3.152585608
"198","Endothelial, stellate, and myofibroblast","ARRDC3",3.143328135
"199","Endothelial, stellate, and myofibroblast","TPI1",3.132521468
"200","Endothelial, stellate, and myofibroblast","SNX3",3.006705402
"201","Endothelial, stellate, and myofibroblast","IFIT3",2.971993201
"202","Endothelial, stellate, and myofibroblast","PXDC1",2.96089356
"203","Endothelial, stellate, and myofibroblast","PLK2",2.933760393
"204","Endothelial, stellate, and myofibroblast","LAMP1",2.930200144
"205","Endothelial, stellate, and myofibroblast","NID1",2.807085522
"206","Endothelial, stellate, and myofibroblast","LGMN",2.794386264
"207","Endothelial, stellate, and myofibroblast","GPX3",2.778546459
"208","Endothelial, stellate, and myofibroblast","PDIA6",2.762566443
"209","Endothelial, stellate, and myofibroblast","DPY19L1",2.716396239
"210","Endothelial, stellate, and myofibroblast","CALU",2.692650045
"211","Endothelial, stellate, and myofibroblast","A2M",2.67717993
"212","Endothelial, stellate, and myofibroblast","EMILIN1",2.676605276
"213","Endothelial, stellate, and myofibroblast","COL3A1",2.597206896
"214","Endothelial, stellate, and myofibroblast","MMP19",2.587826245
"215","Endothelial, stellate, and myofibroblast","CXCL9",2.554185866
"216","Endothelial, stellate, and myofibroblast","IGFBP7",2.494518212
"217","Endothelial, stellate, and myofibroblast","TNFRSF1A",2.480151199
"218","Endothelial, stellate, and myofibroblast","SERPINF1",2.473911276
"219","Endothelial, stellate, and myofibroblast","FN1",2.465680855
"220","Endothelial, stellate, and myofibroblast","RAB7A",2.444538145
"221","Endothelial, stellate, and myofibroblast","MX1",2.419772558
"222","Endothelial, stellate, and myofibroblast","CD81",2.419600574
"223","Endothelial, stellate, and myofibroblast","TAGLN2",2.403817872
"224","Endothelial, stellate, and myofibroblast","SHISA5",2.342915219
"225","Endothelial, stellate, and myofibroblast","PLVAP",2.243333566
"226","Endothelial, stellate, and myofibroblast","MYL12B",2.206287055
"227","Endothelial, stellate, and myofibroblast","COL6A2",2.20530536
"228","Endothelial, stellate, and myofibroblast","MORF4L2",2.199566313
"229","Endothelial, stellate, and myofibroblast","IGF2",2.199031388
"230","Endothelial, stellate, and myofibroblast","POSTN",2.17170479
"231","Endothelial, stellate, and myofibroblast","CSAD",2.154481131
"232","Endothelial, stellate, and myofibroblast","C1S",2.149826815
"233","Endothelial, stellate, and myofibroblast","MAN1C1",2.143991605
"234","Endothelial, stellate, and myofibroblast","AGTR1",2.138380417
"235","Endothelial, stellate, and myofibroblast","EMC10",2.119100641
"236","Endothelial, stellate, and myofibroblast","MYL12A",2.099921517
"237","Endothelial, stellate, and myofibroblast","LIMS2",2.09852966
"238","Endothelial, stellate, and myofibroblast","CRTAP",2.080353325
"239","Endothelial, stellate, and myofibroblast","SRSF4",2.053561043
"240","Endothelial, stellate, and myofibroblast","CCL2",2.039112907
"241","Endothelial, stellate, and myofibroblast","IFRD1",2.03294592
