"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:244"	"GO:244"	"GATA1_MEGAKARYOCYTE_MM9"	"100/2155"	"425/12202"	0.00109467324537289	0.110561997782662	0.0933352977633725	"633/1041/1775/2741/2791/3429/4087/4088/5552/6248/6249/6278/6685/6893/7001/7381/8109/8311/8825/8853/9114/9226/9267/9350/9469/9812/10049/10786/10972/11182/11421/13192/13221/13438/13513/13925/14314/14330/14336/14440/14599/14867/15083/16755/16893/17823/18614/19119/19175/19718/19859/19885/19938/19947/20107/20727/20941/20979/21006/21007/21041/21072/21294/21443/21749/21788/22053/22253/22279/22667/22938/23358/23473/23505/23814/24295/24421/24499/24737/24798/25149/25451/26291/27085/27182/27274/27631/28455/28782/28848/30334/30500/30859/30892/30983/31287/32123/32158/32259/32384"	100
"GO:288"	"GO:288"	"KEAP1"	"97/2155"	"426/12202"	0.0037329605058502	0.155165389787084	0.130989021081332	"577/846/874/1663/2015/2484/3430/4088/5348/5459/5552/5947/6005/6230/6248/6871/7589/7987/8222/9117/9445/9777/10194/11291/11294/11433/11757/12010/12295/12389/12570/12857/12974/13002/13125/13352/13576/14230/14440/14528/15748/15976/16167/16211/16846/16966/17312/17852/18053/18215/18433/18896/18937/19362/19424/20160/20660/21282/21749/21761/22023/22114/22761/22765/22786/22871/23762/24220/24499/24614/24637/24924/25321/25488/25827/26127/26183/26430/26650/27182/27547/27825/28135/28317/28414/28497/29074/29516/29780/30099/30230/30824/30831/31361/31426/31774/32007"	97
"GO:362"	"GO:362"	"NFIC_ECC1_HG19"	"93/2155"	"418/12202"	0.00865225028329902	0.155165389787084	0.130989021081332	"227/868/1075/1785/2134/2585/3609/3847/4443/4545/4576/4822/4885/5018/5257/5445/5919/7028/7085/7162/7983/8076/8932/9288/9368/9445/9718/9777/10147/10600/11019/11582/12291/13862/13906/15360/16021/16488/17113/17409/17418/17936/18115/18614/18937/19409/19419/20234/20271/20287/20939/21033/21041/21284/21286/21340/22057/22334/22366/22761/22765/23085/23173/23437/23828/23830/24173/24510/24614/24635/24924/25181/25226/25426/25488/25489/25802/26006/26339/26685/27182/28033/28414/28494/28879/29302/29411/30201/30438/31080/31612/32384/33288"	93
"GO:217"	"GO:217"	"FOSL2_MCF7_HG19"	"50/2155"	"206/12202"	0.00968050172787427	0.155165389787084	0.130989021081332	"600/868/1785/2585/4210/5167/6055/6120/7825/8109/8677/8852/8853/10834/11307/11424/12586/12670/13162/13277/13664/13928/15672/16488/16506/16767/17089/17266/17901/18991/19115/19215/19273/20695/21818/22511/23480/23830/25871/26247/26291/26292/27636/27795/28848/29476/29665/30159/30230/30983"	50
"GO:381"	"GO:381"	"NR3C1_HEPG2_HG19"	"37/2155"	"145/12202"	0.0108136128042538	0.155165389787084	0.130989021081332	"1911/4394/4932/7338/7983/8222/9115/9808/14619/15149/15360/15958/16211/16804/18131/19371/19751/20248/20424/20563/21284/21286/21320/22368/22381/22677/24490/25774/25805/26525/27159/29472/29712/30136/31080/31382/31674"	37
"GO:472"	"GO:472"	"STAT2_K562_HG19"	"41/2155"	"164/12202"	0.0108871465940452	0.155165389787084	0.130989021081332	"340/876/877/1075/4349/5987/6249/6433/6846/8057/8205/8644/8931/8998/9578/9808/11019/12250/15094/15188/16893/17748/19029/19964/20742/21041/21556/22049/22735/23603/26702/27343/27587/27609/28080/28256/28810/28847/29247/30169/30324"	41
"GO:271"	"GO:271"	"JUN_HELAS3_HG19"	"67/2155"	"292/12202"	0.0119679862875245	0.155165389787084	0.130989021081332	"435/712/876/1785/2352/2404/2497/2585/3951/5167/5292/5445/8109/8677/8852/8853/9368/10047/10834/10964/13162/13277/13664/13928/14809/14810/16506/16578/16767/16893/17089/17408/19119/20153/20413/20450/21185/21386/21712/21798/22053/23480/23938/24029/24240/24570/24768/24811/24924/24932/25687/25871/26247/26291/26292/26650/26652/26668/27636/27795/27825/28330/29186/30159/30983/31609/33288"	67
"GO:16"	"GO:16"	"BACH2"	"70/2155"	"309/12202"	0.0138992833345412	0.155165389787084	0.130989021081332	"431/577/740/831/1273/2781/4088/4268/5683/5888/5947/6027/6341/7215/7951/8075/8312/8520/9445/9458/9777/10119/10148/10696/10993/11307/11703/12295/12387/12472/12994/13002/14093/14183/14230/14362/14440/14740/15123/15223/15748/17312/17852/18053/18789/18896/18987/19597/19661/20005/21003/21023/21980/22114/24353/24637/25488/25695/25827/25905/26339/27151/27547/28317/29472/29780/31392/31426/32007/32387"	70
"GO:510"	"GO:510"	"TEAD4_HEPG2_HG19"	"36/2155"	"143/12202"	0.0146010004446757	0.155165389787084	0.130989021081332	"340/797/1396/1788/3714/4348/5492/5882/6257/6875/7119/7718/8203/9060/10147/11079/13227/16327/16893/19547/20005/21043/21798/22057/22500/24224/24240/24622/24689/25426/27182/27536/28422/28847/31236/31426"	36
"GO:433"	"GO:433"	"RXRA_GM12878_HG19"	"44/2155"	"183/12202"	0.0170728899956109	0.155165389787084	0.130989021081332	"3714/4443/6871/7069/7085/8428/8644/10868/11433/12670/12852/13948/14462/15085/16846/17266/18129/18348/18599/18614/19404/19973/20413/21041/22276/22677/23324/23328/23473/23598/23828/23952/23988/24173/25687/26234/26702/27159/28379/30724/30889/31236/32299/32646"	44
