"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:217"	"GO:217"	"FOSL2_MCF7_HG19"	"40/1626"	"206/12202"	0.00851599989283425	0.601044967506917	0.601044967506917	"792/868/2489/4488/5198/6511/7755/8109/8267/10834/12762/13897/13902/15261/16506/17383/17543/17975/18075/18362/18576/19109/19115/20773/21818/22414/22511/23917/24662/25578/25741/26360/27375/27795/28580/28674/30230/30337/30983/32106"	40
"GO:244"	"GO:244"	"GATA1_MEGAKARYOCYTE_MM9"	"73/1626"	"425/12202"	0.0124703647545196	0.601044967506917	0.601044967506917	"1166/4041/4450/4988/5552/5804/7006/7381/8109/8825/9226/9267/9298/9668/10003/10118/11520/12014/12241/13221/13229/13439/13513/13549/13997/14429/15704/16354/16414/16720/16773/17337/18122/18614/18724/19109/19175/19378/19521/19718/19965/20843/21006/21007/21072/21667/21979/22319/22938/23358/23842/24478/24798/24917/24948/24959/25555/25562/25578/25829/26450/26665/27161/28370/28892/29194/29994/30728/30892/30983/31812/32001/32300"	73
"GO:559"	"GO:559"	"ZKSCAN1_MELCELLLINE_MM9"	"31/1626"	"159/12202"	0.0178528208170371	0.601044967506917	0.601044967506917	"5888/6531/8252/8812/9118/11141/13229/13856/14308/14694/15133/15657/19704/19999/21037/21733/21763/22023/22069/24932/26450/26796/28451/29146/29447/29598/29952/30176/30475/30704/31051"	31
"GO:202"	"GO:202"	"ETS1_GM12878_HG19"	"23/1626"	"122/12202"	0.0521673525653272	0.812993482512516	0.812993482512517	"2237/3168/5804/7245/8013/10118/10599/16557/18692/19041/19926/20212/21284/21319/21320/23842/24490/28563/29422/30101/30434/31352/31382"	23
"GO:405"	"GO:405"	"RELA_GM18526_HG19"	"78/1626"	"495/12202"	0.0619930653253477	0.812993482512516	0.812993482512517	"414/685/731/792/2903/3248/3350/3969/4330/4695/4937/5216/5275/6114/6138/7522/7523/7847/7848/9283/9414/10125/12743/13102/13549/13589/14144/14335/14424/16867/18614/18937/19378/19521/19776/20524/20581/20853/21072/21733/22088/22522/22735/22789/23842/23988/24478/24490/25249/25287/25395/25414/25532/25578/25592/25846/25981/26522/26710/27081/27136/27170/27767/28058/28118/28563/28672/28737/28778/29422/30101/30122/30691/30863/31080/31235/31355/31514"	78
"GO:13"	"GO:13"	"ATG16L1"	"13/1626"	"62/12202"	0.0623787643820744	0.812993482512516	0.812993482512517	"731/1166/1332/11703/14124/17882/20444/21111/22762/22889/23376/25115/26832"	13
"GO:266"	"GO:266"	"IRF3_HEPG2_HG19"	"78/1626"	"496/12202"	0.0643029213506884	0.812993482512516	0.812993482512517	"414/1529/2039/2555/3350/3782/4392/4695/4988/5333/6138/6252/6659/8109/8145/8203/8513/8546/9252/9997/10428/10990/11141/11316/11883/12130/12237/12619/12759/13221/13549/14144/14311/14433/14509/15599/18888/19378/19593/19704/19718/19776/19870/20595/20843/21038/21542/22019/22093/23018/23526/23576/23640/23916/24435/24470/24711/24820/24959/25287/25395/25789/26039/26697/26832/26982/27136/27950/28696/29516/29879/29908/29952/30584/30905/31235/31511/31653"	78
"GO:261"	"GO:261"	"HSF1_HEPG2_HG19"	"25/1626"	"141/12202"	0.0810451538074759	0.812993482512516	0.812993482512517	"2039/4519/5060/5145/7563/8145/14144/19378/19776/19791/19926/21317/22110/22375/22810/24628/24820/25955/26060/26183/28580/28979/29035/30332/31206"	25
"GO:510"	"GO:510"	"TEAD4_HEPG2_HG19"	"25/1626"	"143/12202"	0.0921403376267877	0.812993482512516	0.812993482512517	"340/2353/2386/3043/3714/4096/5673/7119/7245/8203/11520/19378/19587/20295/21440/21618/21798/22857/24224/24622/24706/26288/27767/28551/29976"	25
"GO:375"	"GO:375"	"NR2C2_K562_HG19"	"40/1626"	"244/12202"	0.0943444822360756	0.812993482512516	0.812993482512517	"216/308/1719/2015/2572/2615/4076/4131/6854/7067/7069/7245/8252/9241/12619/13993/14127/14942/15107/16215/16801/17283/18937/20496/20524/21414/21435/22019/22676/23993/24224/25284/25555/26059/26999/27586/27768/29783/32001/32119"	40
