"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:17"	"GO:17"	"BATF_GM12878_HG19"	"85/2196"	"334/12202"	0.000358248267326388	0.0361830749999652	0.034316412975475	"92/389/418/898/899/961/986/1768/2781/3702/3728/3898/3993/4394/5079/5177/5608/5644/6124/6651/6931/7228/7301/7311/7394/7481/7598/8076/8761/8834/9351/9366/10842/11004/11975/12205/13229/13972/14334/14764/15083/15745/15760/16103/16404/16582/16670/17186/17422/17518/17623/18143/19031/19152/19728/19939/20687/21184/21339/21755/22360/22928/23002/23250/23694/23872/23917/23970/23986/24511/24635/24814/25373/26061/26276/26975/27302/27348/27349/28256/28450/28984/29113/29670/31287"	85
"GO:472"	"GO:472"	"STAT2_K562_HG19"	"44/2196"	"164/12202"	0.00309368863490271	0.130937421299595	0.124182442295604	"811/899/1075/1089/1458/3387/3819/4120/4506/5019/6433/8205/8644/8998/9366/9808/12249/12250/12391/12636/13904/14764/14805/15188/16009/16836/16840/17592/19435/20182/20742/20854/21132/21550/21556/22868/24857/25661/26082/26542/26702/27302/28256/30869"	44
"GO:182"	"GO:182"	"EGR1_MCF7_HG19"	"109/2196"	"478/12202"	0.00388923033563154	0.130937421299595	0.124182442295604	"398/742/852/1380/1858/2134/2643/3898/4063/4131/4648/5100/5600/5990/6160/6282/6337/6615/6701/7284/7403/7785/7818/8595/8879/9870/10581/10893/11292/11533/11880/11975/12636/12649/12815/12846/12982/13045/13205/13335/13383/13697/13993/14008/14182/14481/14703/14988/15149/15599/15942/16429/16679/16760/17648/17651/17737/18275/19080/19713/19776/20094/20193/20401/20576/21078/21513/21552/21816/22203/22476/22493/22668/22868/23480/23532/23632/23974/23983/24181/24478/24511/24598/24632/24700/24799/24814/25050/25052/25222/25225/25263/25661/26082/26156/26414/26525/26656/27348/27349/27531/27794/28010/28679/29183/29550/30222/30681/32648"	109
"GO:196"	"GO:196"	"ESR1_ECC1_HG19"	"84/2196"	"365/12202"	0.00815471916457086	0.195834265363331	0.185731299093936	"697/956/1135/1433/1471/2208/2448/2694/3371/3709/3750/4252/5154/5177/6120/6931/7228/7357/7942/9421/9769/10968/11825/11975/12212/12249/12469/13038/13045/13700/13939/14008/14321/14962/15213/15722/16009/16218/16506/17409/18113/18157/18682/18897/18966/19033/19102/19233/19816/19939/20111/20533/20718/22281/22809/22850/23042/23085/23142/23814/24072/24168/24401/24435/24662/24736/24820/25383/25992/27147/27443/27651/27950/28535/29026/29714/29987/29992/30567/30869/30891/31457/31852/32088"	84
"GO:299"	"GO:299"	"MAFK_MELCELLLINE_MM9"	"98/2196"	"437/12202"	0.00969476561204609	0.195834265363331	0.185731299093936	"25/1135/1187/1941/2275/2421/2437/2694/3159/3819/4028/4171/4267/4704/4886/5547/5589/5923/6133/6180/6476/6562/6615/6824/6983/7116/7301/7306/7353/7706/7995/8154/8227/8235/8473/8994/9524/9637/11008/11701/11975/11992/12277/12480/13171/13425/14976/15025/15083/15117/15149/15345/15745/15760/16009/16095/16344/17394/17400/17403/18174/18817/18949/18974/19152/19870/20242/20533/20752/20854/21132/21184/22372/22376/23270/23598/23747/23895/23985/23986/24072/24239/25198/25324/25552/25691/26542/26568/26702/27048/27679/28535/28787/28798/30681/30898/32134/32648"	98
"GO:283"	"GO:283"	"JUND_MELCELLLINE_MM9"	"43/2196"	"174/12202"	0.0156006999561132	0.230115785374393	0.218244257103385	"739/2694/3819/5706/5835/6207/7391/7942/8761/10005/12205/13831/14321/14341/15345/15708/15768/16219/16414/17404/18015/18183/19033/19099/19184/19923/20089/21419/21612/22583/23545/25540/25891/27753/27766/28381/28976/29977/30235/30609/31851/31852/32648"	43
"GO:340"	"GO:340"	"MYB_MELCELLLINE_MM9"	"97/2196"	"440/12202"	0.0159486187883243	0.230115785374393	0.218244257103385	"259/742/1178/1216/1950/2298/2680/2864/3159/4047/4393/4515/5145/5872/6120/6145/6204/6235/6283/6486/6698/7072/7083/7254/7399/7403/7407/7423/7645/7803/7842/7873/9805/10047/10200/10705/11236/12320/12480/12982/13052/13322/13418/13427/13527/13687/13952/14061/15345/15703/15704/16320/16867/17394/17403/17640/18183/18675/19033/19038/19292/19733/19923/20285/20718/20752/20808/21066/21132/21244/21339/21623/21733/21816/22056/22614/23814/23974/24678/25233/25763/25774/26702/27168/27348/27349/27402/27716/27764/28352/28914/29058/29417/29670/30078/30208/31663"	97
"GO:228"	"GO:228"	"FOXP2_SKNMC_HG19"	"67/2196"	"294/12202"	0.0205748184922032	0.259757083464065	0.246356379314538	"653/811/1518/1616/2313/2680/4506/5094/5644/5781/5884/5993/6812/6984/6995/7072/7151/7357/7394/7842/8556/9184/9867/10112/10262/10295/11475/12469/12567/12671/13174/13365/14008/15354/16213/16397/16496/16543/16806/18197/18675/19733/20168/20174/20298/20401/20576/20919/21184/21623/22368/22449/22493/22821/23814/25263/25781/25799/26565/26692/27090/27235/27753/27936/29323/30078/31675"	67
"GO:372"	"GO:372"	"NR2C2_GM12878_HG19"	"83/2196"	"381/12202"	0.0317069886699854	0.355822872852058	0.337466195201014	"216/308/579/763/785/1132/2441/4128/4131/4394/4870/4886/4925/5656/5884/6701/6935/7068/7752/7944/8233/9595/10439/10478/10599/11079/11080/11989/11992/12221/12472/12619/12649/13260/13335/13365/13556/13576/13904/13952/13966/13993/14185/14805/15354/15382/15725/16421/16543/16679/17183/17184/17670/17681/17891/19548/19713/20494/21912/22091/22372/22676/22893/23345/23993/24027/24181/24480/24559/24612/24632/25431/25781/26999/27302/27359/28352/28730/28980/29856/31324/31617/32118"	83
"GO:238"	"GO:238"	"GABPA_MELCELLLINE_MM9"	"21/2196"	"79/12202"	0.0370517324613501	0.374222497859636	0.354916595156091	"2437/3343/4028/5635/7554/8076/12980/14618/15149/15570/16009/18183/19746/23985/23986/25052/25661/27137/29007/29565/32648"	21
