"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:472"	"GO:472"	"STAT2_K562_HG19"	"44/1990"	"164/12202"	0.000398910351243929	0.0402899454756368	0.0390512238586162	"153/340/811/899/1089/1359/3387/4120/4121/4506/6433/7217/7304/8205/8931/8998/9366/10812/12249/13030/13904/14764/14805/14806/16836/17027/17592/17748/18346/18347/19029/19435/19964/20742/21550/22088/22735/23774/24857/27343/27609/28080/29088/29250"	44
"GO:17"	"GO:17"	"BATF_GM12878_HG19"	"72/1990"	"334/12202"	0.00655720391332976	0.275967097825986	0.267482439789648	"343/389/899/986/2092/2725/3203/3732/3993/4807/5079/5644/5778/5971/6378/6652/6937/7301/8834/8931/9117/9366/10473/10709/11007/11286/11468/11549/11975/12003/13229/13561/13864/13902/13941/14764/15083/15899/16404/16627/17027/17186/19152/20404/20647/21712/22010/22250/22457/22735/22784/23083/23510/23917/24175/24510/24635/24760/24789/25373/25750/26027/26276/26532/26584/27349/27474/28118/29088/30830/31236/33326"	72
"GO:282"	"GO:282"	"JUND_MCF7_HG19"	"35/1990"	"146/12202"	0.0103969370540127	0.275967097825986	0.267482439789648	"1359/6096/6237/8104/8852/9782/10147/10385/10484/11203/12586/13263/13664/13939/14228/15132/15695/16356/17089/18576/20421/21063/21078/21808/22201/22284/22824/23352/24662/26247/26890/28296/28433/28672/32411"	35
"GO:437"	"GO:437"	"SERGEF"	"83/1990"	"401/12202"	0.0109293900129103	0.275967097825986	0.267482439789648	"153/452/731/1089/1521/2003/2562/2666/2908/3414/3709/4088/4385/4898/4952/5127/5178/5286/5544/5888/6285/6648/6652/6871/6984/7988/8520/8527/8730/8834/9008/10148/10272/10812/11324/11725/11975/12039/12472/12859/13050/13318/13561/13897/13904/15090/15969/16464/16836/17626/18053/18346/19060/19435/19597/19915/20299/20761/21216/21951/22250/22286/22998/23774/23921/24760/24789/25214/26263/26703/27367/27550/28236/28317/29088/29540/29600/29703/30681/31240/32007/32117/33326"	83
"GO:260"	"GO:260"	"HNF4G_HEPG2_HG19"	"80/1990"	"394/12202"	0.0193176625441388	0.390216783391603	0.378219498232612	"811/873/1161/1390/1732/3029/3110/3203/3340/3645/4376/4807/4925/5144/5456/5481/5486/5546/5737/6137/6256/6306/6724/6741/8054/8061/8425/8888/8889/10473/11968/12208/12335/12497/13318/13418/13572/13879/14936/15132/16215/17409/17626/18352/18780/19151/19435/19903/20183/20193/20221/20399/20484/21035/21543/21573/22372/22476/22763/23636/23875/23917/24236/24952/25520/25754/25818/26119/26263/26944/27002/27632/27899/28335/28639/29115/29250/31507/31976/32007"	80
"GO:27"	"GO:27"	"CACNG7"	"34/1990"	"150/12202"	0.0257382117671002	0.43325989807952	0.419939244621109	"452/1226/2025/2562/4898/5286/6984/7468/7967/8520/8834/12472/12655/12981/13050/13362/14325/14351/15090/16836/19239/21035/21761/22250/24515/26263/26511/27482/27510/29600/29703/29757/32007/33326"	34
"GO:266"	"GO:266"	"IRF3_HEPG2_HG19"	"96/1990"	"496/12202"	0.0370465381803064	0.514555375248859	0.498735277729483	"726/1183/1380/1529/2134/3110/3782/3937/4376/4925/4927/5149/5481/6014/6252/6331/6921/7083/7870/8089/8546/10935/11317/11468/12130/12162/12233/12237/13050/13221/13408/13830/13943/15047/15132/15272/15273/16170/16375/17515/17716/18361/18783/18946/18947/19077/19212/19239/19435/19593/19628/19851/19870/20084/20293/20569/20647/20843/20979/21035/21677/21754/21916/22240/22318/23576/23636/23640/23859/23899/23916/23997/24250/24471/24678/24760/24959/25258/25570/26038/26335/26422/26697/27136/27150/27950/28034/28443/29540/30335/30831/30905/32103/32105/32137/32790"	96
"GO:400"	"GO:400"	"RELA_GM12878_HG19"	"85/1990"	"437/12202"	0.0427914270206132	0.514555375248859	0.498735277729483	"343/366/403/731/1135/1218/1390/1864/1999/2218/2264/2550/2687/5274/5420/5546/5644/5779/6163/6172/6517/6523/6647/6746/7304/7491/7523/7847/7998/9738/10743/10795/11980/11989/12208/13229/13665/14488/14614/14714/14805/15253/15359/15684/15899/16357/16445/17027/17400/17650/17862/18054/19029/19152/19934/19938/20084/20107/20372/20647/21363/22195/22246/23721/23987/24250/24379/24510/24760/25051/25137/25310/26545/26570/26703/26710/27767/27899/28003/28543/28782/29101/30681/32117/33326"	85
"GO:459"	"GO:459"	"SREBF1_HEPG2_HG19"	"62/1990"	"313/12202"	0.0552132187151258	0.514555375248859	0.498735277729483	"722/1529/2025/2203/2437/2687/4135/4506/4545/4927/6331/7217/7589/8888/8889/9180/10272/11080/11203/11232/12010/12237/13394/13408/13913/16375/16955/17089/18053/18927/18946/18947/19692/19851/20241/20293/20357/20979/21035/21062/21695/21719/22057/22318/22824/22856/22870/22871/22894/23574/23813/24471/24628/25479/28118/28495/28554/28639/29183/29265/32137/32546"	62
"GO:471"	"GO:471"	"STAT1_K562_HG19"	"44/1990"	"214/12202"	0.057350700254303	0.514555375248859	0.498735277729483	"153/435/1089/1359/3387/4120/4121/4506/6137/6433/6673/7217/7304/7580/8205/8931/8998/9366/10812/12857/13030/13904/14764/14805/14806/16802/16803/17027/17592/17748/18346/18347/19029/19435/20372/20742/23605/24012/27343/27609/27888/28080/29088/32007"	44
