"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:224"	"GO:224"	"FOXM1_ECC1_HG19"	"83/2007"	"372/12202"	0.00173448995017072	0.12432910298861	0.111436194445237	"27/921/1663/1853/2380/2904/3044/3951/4049/4340/4377/4749/5476/5964/5966/6188/6596/6624/6841/7048/7466/7821/8136/8173/9004/9368/9441/10484/10564/10849/11390/11585/12290/12547/12630/13511/13723/13732/13939/14424/14755/15525/15674/15862/16326/16327/16396/16653/17266/18653/18937/19718/19751/19761/20690/20941/21225/21346/22380/22538/22758/23333/23437/23510/23721/23830/23955/23959/23960/24471/24652/25570/26147/26233/27236/28352/28353/28573/28705/29729/29992/30337/31513"	83
"GO:340"	"GO:340"	"MYB_MELCELLLINE_MM9"	"95/2007"	"440/12202"	0.00247207763913679	0.12432910298861	0.111436194445237	"259/2519/2521/2904/3160/3375/3969/4049/4515/5268/5279/5556/5675/6146/6698/7406/8173/8455/8461/9302/9316/10347/10839/11470/11617/11928/11970/12100/12395/13052/13053/13418/13427/13527/14599/15305/15630/16278/16320/16784/16867/16936/17356/17357/17571/17640/18631/19292/19320/19814/19948/20285/20695/20808/20843/20856/20941/20948/21066/21116/21289/22056/22265/22538/22614/23507/23510/23830/23959/23960/24558/24952/25216/25577/25732/25774/26147/26247/26665/27170/27402/27715/27799/27943/28105/28352/28353/28557/28705/29028/29030/30078/30622/31976/32790"	95
"GO:244"	"GO:244"	"GATA1_MEGAKARYOCYTE_MM9"	"91/2007"	"425/12202"	0.00386179718756097	0.12432910298861	0.111436194445237	"261/1775/1891/2487/2519/2521/3008/3473/3803/4087/4088/4196/5337/5552/6248/6685/6893/7381/7801/7968/8136/8825/9298/9350/9469/9738/9812/10003/10250/10786/10972/11182/11912/12107/13229/13340/13438/13509/14314/14599/14867/15083/15117/16222/16414/16773/17197/18122/18614/18631/18977/19376/19718/19859/19947/20843/20941/21063/21294/21443/21749/22319/22332/22668/23026/23358/23624/23852/24421/24499/24617/24948/25555/25562/26225/26665/27161/27274/27302/27627/27868/28370/28705/29729/30004/30106/30576/30622/32259/32300/32384"	91
"GO:514"	"GO:514"	"TEN1.CDK3"	"45/2007"	"188/12202"	0.00492392487083605	0.12432910298861	0.111436194445237	"402/452/515/671/2064/2078/2257/2781/4088/5546/6539/6648/6682/6984/7281/7391/7555/8075/8455/8556/8929/10696/12337/12472/13002/13050/13588/13988/14318/14513/15105/15223/15371/15781/16683/17127/17864/21552/22799/24258/25695/26356/28133/30886/31578"	45
"GO:226"	"GO:226"	"FOXM1_MCF7_HG19"	"27/2007"	"103/12202"	0.00766912026056647	0.151244677084233	0.135560627714893	"1051/1663/2904/3044/4377/9441/10564/10849/11390/12290/13511/15674/16653/17266/19718/19761/20941/22538/22821/23959/23960/25570/28705/29184/29729/30337/31513"	27
"GO:4"	"GO:4"	"ASF1A"	"60/2007"	"272/12202"	0.00898483230203363	0.151244677084233	0.135560627714893	"7/462/515/671/1531/2015/2025/2078/4088/5546/5687/5842/6248/6841/6890/6984/7555/8580/8879/9117/9316/10696/12056/12423/12547/12744/13185/13588/14318/14424/14670/15047/15833/16427/17197/19216/19376/19424/19469/19816/21063/21076/21563/21749/22427/22799/23304/23852/23960/24240/24258/25053/25848/27868/27914/28133/28326/30203/30837/31774"	60
"GO:44"	"GO:44"	"CNPPD1"	"62/2007"	"288/12202"	0.0135263272024754	0.195165578207146	0.174926938257577	"7/792/3473/4088/4506/4611/5061/5120/5552/6001/6248/6253/6383/6539/6890/7281/9302/11657/12290/12306/12974/13340/13479/14513/15223/15570/15781/15833/16427/17197/17810/18896/19376/19699/20095/20308/20660/20941/21063/21076/21443/21552/21749/22780/22799/23150/23575/23852/23960/24258/25216/25501/27367/27868/27914/28326/28777/30235/30886/31336/31617/32259"	62
"GO:437"	"GO:437"	"SERGEF"	"82/2007"	"401/12202"	0.0185839803266936	0.213383158806062	0.191255358596366	"402/452/462/515/671/690/775/792/1105/1127/1521/2064/2078/2781/3414/4088/4302/4611/4741/5544/5842/5990/6001/6048/6383/6539/6648/6682/6701/6890/6984/7391/7554/7555/8455/8677/8929/10148/10315/10696/11928/12205/12337/12472/12532/13002/13050/13299/13588/13988/15105/15223/15371/15833/15874/15969/16683/17623/17864/19224/19428/19435/20362/21552/22761/22799/24258/24353/25695/27151/27367/27552/27642/28133/28776/28783/29450/29564/29747/30157/30837/31578"	82
"GO:405"	"GO:405"	"RELA_GM18526_HG19"	"99/2007"	"495/12202"	0.0190143408837085	0.213383158806062	0.191255358596366	"402/792/2025/3427/3727/3728/3969/4330/4674/5275/5924/6138/6936/7466/7523/7847/8103/8502/8633/9584/9702/9738/10121/10402/10409/10702/11017/11048/11856/11980/12532/12743/12777/13060/13255/13263/13326/13588/13589/14118/14273/14383/14424/15572/15630/16427/16673/16867/17027/17356/17357/17413/17810/17864/17865/18174/18614/18922/18937/18946/19152/19376/19971/20244/20360/20499/20863/20919/21063/21881/22265/22363/22522/22734/23437/24510/24700/25285/25417/26131/26247/26525/26799/27170/27402/27486/27542/27914/28118/28543/28672/28705/29729/30317/30622/30886/30889/31513/31732"	99
"GO:327"	"GO:327"	"MIR4664"	"29/2007"	"124/12202"	0.0281056524350917	0.283867089594426	0.25443011678083	"402/452/515/671/2064/2078/6539/6682/6984/7281/10696/11703/11817/13002/13050/13588/13988/15105/15223/16683/17864/19376/19469/21015/21552/22799/27151/28133/28903"	29
"GO:507"	"GO:507"	"TEAD4_A549_HG19"	"54/2007"	"258/12202"	0.0330520679981485	0.30347807889209	0.272007449554141	"876/898/2331/2497/2831/3043/4488/5268/5934/6128/6138/7674/7970/8821/9368/10689/10718/11007/11182/11289/12205/13162/14186/14670/15023/15083/15117/16326/16327/16396/16653/16821/18242/18653/18890/19015/19376/19404/20919/21063/21079/21618/22375/23437/23510/24240/25562/25732/25766/27914/28133/28650/28777/29516"	54
"GO:464"	"GO:464"	"SRF_HCT116_HG19"	"54/2007"	"260/12202"	0.037639596459535	0.308424078287593	0.276440549585545	"2519/2521/2656/2682/2684/4920/5220/5673/5913/5987/6188/6495/7568/7983/7984/9440/11192/11286/12205/12744/12974/13185/14142/14187/14415/16396/16488/18348/18631/18849/19443/19942/20095/20248/20368/20480/21076/21079/21346/22426/22459/22479/22668/22678/22696/23443/25284/25577/25774/26083/26902/26982/27359/31630"	54
"GO:42"	"GO:42"	"CEBPD_K562_HG19"	"80/2007"	"405/12202"	0.0418402648958244	0.308424078287593	0.276440549585545	"169/775/876/953/2904/3160/3989/4075/4277/4350/4488/4602/6001/6236/7224/7245/7394/8467/8677/9302/10409/10702/10818/11007/11243/11289/11699/13410/13479/13723/14186/14939/15023/15305/15570/16396/17197/17413/17810/18348/19349/19424/20327/20364/20576/20919/21342/22260/22928/23150/23245/23304/23708/24154/24232/24659/24952/25562/25732/25765/25857/26697/27367/27402/27642/27868/27914/28256/28352/28353/28725/28978/29239/29729/30004/30598/30622/31732/31852/32099"	80
"GO:170"	"GO:170"	"E2F4_MELCELLLINE_MM9"	"71/2007"	"356/12202"	0.0440324905758829	0.308424078287593	0.276440549585545	"24/169/2526/3859/4602/5095/5305/5835/6248/6337/6383/7381/7817/8455/8461/8502/8677/8993/9117/10347/10856/12620/13473/14984/15023/15525/15674/15737/15862/16055/16326/16327/16427/17266/17340/17356/17357/17777/17865/18653/18922/18952/19376/19761/19971/20327/20603/20856/20941/21076/21225/22369/22678/22780/23551/23624/23644/24182/24258/24857/24948/25417/26897/26985/27150/27402/27760/28573/30867/30950/32568"	71
"GO:362"	"GO:362"	"NFIC_ECC1_HG19"	"82/2007"	"418/12202"	0.0458055561813257	0.308424078287593	0.276440549585545	"782/1785/1853/2333/2412/3375/3847/4302/4545/4885/4930/5116/5257/5328/6370/6383/7983/7984/8694/9092/9094/9368/9718/9741/10121/10262/10292/10402/10818/11597/12252/12337/12703/12767/13555/13765/14053/14080/15050/16019/16193/16488/17182/17936/18178/18614/18653/18849/18937/19690/19816/19865/20234/20825/21033/21063/21284/21317/21367/22334/22352/22427/22758/22761/22821/23085/23437/23576/23830/24510/24700/25284/25426/25570/26685/27263/28494/28645/29302/29303/29992/32384"	82
