"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"53"	2.99460427961283e-11	0.470772667224553	0.396	0.289	1.49730213980642e-07	"0"	"ENSDNOG00000032383"
"54"	7.56913331562348e-11	0.443171181430912	0.765	0.668	3.78456665781174e-07	"0"	"ENSDNOG00000002614"
"55"	7.27313269095906e-10	0.364267806411762	0.277	0.205	3.63656634547953e-06	"0"	"ENSDNOG00000038173"
"56"	1.76952989543834e-09	13.8295592061378	0.342	0.217	8.84764947719171e-06	"0"	"ENSDNOG00000046116"
"57"	6.17827008254172e-09	1.80833431350759	0.49	0.413	3.08913504127086e-05	"0"	"ENSDNOG00000036402"
"58"	2.41493996296377e-08	1.48965779535971	0.395	0.304	0.000120746998148189	"0"	"ENSDNOG00000013684"
"59"	7.37819412858262e-08	15.5395812007171	0.327	0.259	0.000368909706429131	"0"	"ENSDNOG00000037551"
"60"	2.05182279099743e-07	2.42869939957732	0.48	0.392	0.00102591139549871	"0"	"ENSDNOG00000008114"
"61"	3.51488833451432e-07	0.509907911119817	0.352	0.258	0.00175744416725716	"0"	"ENSDNOG00000014741"
"62"	3.78869913128186e-07	4.70988707116515	0.402	0.358	0.00189434956564093	"0"	"ENSDNOG00000007956"
"63"	4.98940998801671e-07	1.05446009405575	0.292	0.22	0.00249470499400835	"0"	"ENSDNOG00000010476"
"64"	1.75364240846498e-06	2.90956606444076	0.509	0.433	0.00876821204232491	"0"	"ENSDNOG00000031098"
"65"	1.88663269821002e-06	3.26350174698838	0.256	0.203	0.00943316349105012	"0"	"ENSDNOG00000039988"
"66"	2.94193437997112e-06	0.371584951206369	0.392	0.292	0.0147096718998556	"0"	"ENSDNOG00000015065"
"67"	9.07438019792925e-06	11.3981242500612	0.256	0.196	0.0453719009896463	"0"	"ENSDNOG00000009972"
"68"	1.11656667054164e-05	0.266514698720885	0.526	0.475	0.0558283335270819	"0"	"ENSDNOG00000016210"
"69"	3.64457462483301e-05	0.719439558403282	0.566	0.536	0.18222873124165	"0"	"ENSDNOG00000008161"
"70"	8.74712164903061e-05	9.30423014182344	0.255	0.177	0.437356082451531	"0"	"ENSDNOG00000007089"
"71"	0.000155973041390541	11.1358370279717	0.57	0.509	0.779865206952707	"0"	"ENSDNOG00000043276"
"72"	0.000421030685689009	5.58548939233675	0.427	0.343	1	"0"	"ENSDNOG00000032247"
"73"	0.000459041941829912	0.274223435497475	0.28	0.201	1	"0"	"ENSDNOG00000006568"
"74"	0.00180856617217602	12.4414442147387	0.332	0.302	1	"0"	"ENSDNOG00000040141"
"75"	0.00224638214941857	0.444026542742535	0.26	0.173	1	"0"	"ENSDNOG00000014699"
