"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:550"	"GO:550"	"ZBTB33_K562_HG19"	"139/2696"	"466/12202"	4.46079912952705e-05	0.00450540712082232	0.00389732976579732	"189/403/551/742/888/1165/1633/2039/2593/3093/3858/3989/4047/4394/4679/4816/5741/5762/6282/6482/6540/6648/7069/7173/7228/8013/8307/8472/8649/8854/9003/9351/9755/10298/10504/10510/10674/10831/10853/10898/11142/11221/11520/11843/11846/12353/12457/12481/12696/12754/12971/13074/13100/13101/13264/13533/13616/13786/13894/13898/14170/14183/14365/14395/15354/15576/15620/15668/16404/16557/16595/16651/16773/17261/17378/17407/17415/17434/17515/17664/18313/18614/18631/18759/18913/18951/19304/19371/19593/19776/20841/20858/21105/21286/21516/21566/22010/22240/22382/22476/22503/22527/22780/23178/23299/23721/23843/23964/24147/24478/24490/24598/24734/25539/25676/25783/26105/26151/26162/26386/26414/26661/27482/27971/28099/28229/28780/28786/28943/29184/29341/29416/29477/29550/29690/29902/30434/30706/31619"	139
"GO:405"	"GO:405"	"RELA_GM18526_HG19"	"143/2696"	"495/12202"	0.000183567650918488	0.00927016637138362	0.00801900790854445	"403/418/731/792/1218/1696/2134/2686/3201/3248/3427/3593/3728/3780/3969/4394/4435/4443/4674/4683/4937/5275/5600/5924/6138/6231/6931/6936/7235/7380/7423/7466/7522/7523/7870/8174/8502/8503/8664/8719/9283/9394/9702/9704/10121/10125/10795/11017/11431/11856/11858/12208/12743/12754/12777/12988/13060/13084/13100/13101/13102/13255/13326/13589/13898/13940/13946/14183/14383/14420/14424/14488/15354/16325/16496/16893/17413/17810/17864/18238/18581/18601/18614/18922/18937/18947/19304/19612/19731/19776/19856/19885/19971/20400/20581/20687/20854/20919/21063/21974/22164/22363/22527/22684/22788/23437/23843/24250/24251/24379/24476/24478/24489/24490/24642/24814/25145/25146/25186/25285/25414/25532/26110/26258/26276/26692/26944/27182/27402/27486/27542/28672/28888/29476/30431/30622/30886/30928/31080/31234/31235/31514/32648"	143
"GO:219"	"GO:219"	"FOXA1_ECC1_HG19"	"88/2696"	"290/12202"	0.000585095609697825	0.0193651865590854	0.0167515423074944	"7/792/888/1696/2187/3472/3618/3780/3986/4245/4340/4354/4609/4865/5367/5554/5556/5865/6122/6234/6239/6482/7371/7391/7481/7828/8463/9224/9368/9409/9530/10292/10597/11221/11737/12164/12401/12885/13059/13060/13171/13209/13428/13916/15441/16090/16628/16804/17092/17402/17811/17864/18830/18863/19404/19807/20227/20234/21340/22322/22382/23357/23473/23814/23973/24218/25424/25555/26233/26360/26570/26600/26601/26665/26714/26944/27053/27167/27262/27768/27963/29546/30155/30578/30831/30832/30928/31626"	88
"GO:182"	"GO:182"	"EGR1_MCF7_HG19"	"135/2696"	"478/12202"	0.000766938081547935	0.0193651865590854	0.0167515423074944	"27/227/514/582/742/1223/1600/1656/1692/1858/2134/2348/3325/3472/3898/3989/4063/4214/4354/4648/5431/5600/5869/5990/6160/6163/6278/6282/6362/6497/6615/6936/7205/7284/7817/8121/8153/8352/8503/8513/9818/9870/9976/10298/10811/10853/10893/11391/11427/11533/11536/11621/12101/12457/12636/12649/12754/12766/12982/13259/13421/13897/14383/14939/15807/15921/16211/16391/16429/16679/16760/17378/17506/17594/17851/18140/18815/18913/18937/19273/19371/19751/19776/19786/19868/20092/20576/20858/21034/21063/21078/21513/22069/22231/22476/22594/23480/23532/23534/23631/23974/23983/24181/24250/24478/24598/24799/24811/24814/25225/25226/25453/25555/26183/26332/26362/26414/27348/27349/27583/28023/28455/28554/28555/28777/29074/29489/29515/29550/29625/29885/30929/31080/31323/32648"	135
"GO:251"	"GO:251"	"GATA3_A549_HG19"	"60/2696"	"193/12202"	0.00220268750168385	0.0444942875340138	0.0384890658188968	"7/151/888/909/2187/2386/3093/3472/3986/4277/4340/4609/4865/5556/5865/6282/7973/8174/8644/10064/10428/10510/11221/11737/12401/13059/13916/13928/15576/16090/17261/18614/18830/18863/18910/18951/19371/19404/20841/20979/21286/21798/22382/23473/23721/23832/23973/24478/24820/26162/26337/26944/27262/28780/28943/29058/29540/30505/30831/30832"	60
"GO:556"	"GO:556"	"ZEB1_HEPG2_HG19"	"41/2696"	"125/12202"	0.00364148692227414	0.0598353521215336	0.0517596063166992	"582/739/2408/3315/3969/4314/4801/7605/9301/10119/10816/11823/11968/14327/14502/14587/14985/15105/15563/16019/16785/16956/17471/17953/19171/19629/20227/22596/24430/24432/24956/25988/26151/26362/27588/27589/28060/28788/29522/30861/30928"	41
"GO:163"	"GO:163"	"DDX18"	"85/2696"	"296/12202"	0.00414700460248253	0.0598353521215336	0.0517596063166992	"491/551/647/731/792/2420/2594/3159/3430/3780/4088/5061/5544/5990/6278/6659/6682/6890/7094/7215/7423/7614/7988/8174/8664/8719/9084/9445/10309/10572/10834/10898/11778/12337/14170/14424/14513/14808/14914/15703/15725/15749/16213/16445/16633/16806/17303/17664/17810/19304/19469/19816/19955/20308/20660/21015/21111/21115/22474/22780/22802/22871/23203/23385/23960/24277/24379/25146/25424/25695/25783/28317/28414/28431/28825/28827/29476/29780/29782/30096/30505/30706/30831/30839/32117"	85
"GO:202"	"GO:202"	"ETS1_GM12878_HG19"	"39/2696"	"122/12202"	0.00726733567777763	0.0917501129319426	0.079366955428361	"403/888/1633/2406/2593/3858/4394/5762/6853/8013/8649/9003/12457/12754/12971/13616/14365/15354/15576/16211/16557/16595/17378/17407/18759/18951/19304/20841/21286/22240/22382/22476/23843/24147/24490/24598/25783/29550/30434"	39
"GO:266"	"GO:266"	"IRF3_HEPG2_HG19"	"132/2696"	"496/12202"	0.00866821176666115	0.0972765987147529	0.0841475528225585	"298/615/906/1444/2039/2134/2164/2339/2555/2594/2774/4047/4340/4376/4609/4927/5333/5740/5813/6138/6659/6832/6909/7261/7641/7870/7958/8034/8174/8513/9003/9004/9370/10428/10935/11139/11216/11390/11828/12032/12130/12233/12237/12252/12569/12619/12652/13050/13068/13162/13221/13226/13408/13412/13831/13916/13946/14677/15272/15965/16656/16893/17195/17515/17811/18213/18947/19077/19188/19593/19628/19776/19851/19870/19872/19971/20414/20687/20979/21024/21337/21686/21726/21796/21916/21952/22231/22240/22318/22558/22939/23018/23019/23859/23899/23957/23997/24218/24250/24299/24820/24956/25762/25782/25789/25836/25874/26107/26184/26258/26337/26422/26505/26832/27053/27236/27536/27542/27583/27716/28034/28053/28443/28777/28827/29002/29540/30335/30831/30832/31235/32519"	132
"GO:17"	"GO:17"	"BATF_GM12878_HG19"	"92/2696"	"334/12202"	0.0101836167436691	0.102854529111058	0.0889726515499515	"389/418/660/898/926/961/986/1076/1098/1446/2260/2686/3202/3472/3506/3728/3898/3993/4214/4394/4674/4807/5608/5644/5690/5971/6651/6713/6931/7228/7301/7481/8001/8060/8113/9297/9351/10551/10842/11004/11286/11520/12002/13229/13428/13928/13972/14729/15083/15760/16404/16670/16893/17623/17664/18830/19031/19612/19807/20687/21184/21566/22010/22360/22457/22767/23002/23082/23344/23872/23970/24084/24476/24635/24814/25155/25373/25403/25750/25813/26061/26276/26584/26975/27348/27349/28450/28511/29113/29472/29594/29839"	92
