"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:405"	"GO:405"	"RELA_GM18526_HG19"	"124/2019"	"495/12202"	5.42768497445128e-07	5.48196182419579e-05	4.39928150560788e-05	"74/403/792/1377/2134/3122/3201/3728/4071/4683/4933/4934/4937/5216/5884/5924/6114/7464/7522/7789/7847/8502/8503/8633/8719/9414/9738/10335/10402/10409/10702/11292/11293/11765/11980/12532/12754/12776/12777/13102/13308/13519/13588/13730/13898/14183/14194/14383/15521/15692/15772/16325/16388/16673/17170/17356/17455/18053/18174/18176/18359/18937/19304/19758/19776/20168/20497/20499/20621/20644/20863/21434/21665/21866/21974/22253/22527/22734/23219/23313/23531/23842/24095/24239/24250/24476/24510/24700/25249/25532/25533/25575/25578/25579/25661/25690/25692/25846/25981/26110/26122/26130/26523/26525/26703/27163/27182/27402/27442/27486/27914/28705/28888/29424/29476/29729/30099/30431/30691/30778/30863/30928/33326/33337"	124
"GO:226"	"GO:226"	"FOXM1_MCF7_HG19"	"33/2019"	"103/12202"	7.66467241333571e-05	0.00387065956873454	0.00310620934645711	"1663/3044/4052/4377/4537/4579/5738/5840/5986/6237/7729/8599/9441/10257/10564/12290/14569/15025/16656/17843/20942/22538/22873/23959/23960/25570/26840/27795/28705/29184/29568/29729/32221"	33
"GO:211"	"GO:211"	"FOSL1_C2C12_MM9"	"41/2019"	"156/12202"	0.00128615887482092	0.0312457426368388	0.0250747491718248	"712/868/2694/3728/3951/4693/4758/5969/6050/6119/8109/8288/11191/11491/12134/12703/13052/14104/15901/16639/16956/17182/17852/18075/18887/21612/21722/24230/24418/24597/25760/27486/27917/28209/28976/29378/30157/30528/30535/31401/32221"	41
"GO:362"	"GO:362"	"NFIC_ECC1_HG19"	"92/2019"	"418/12202"	0.00189115703858213	0.0312457426368388	0.0250747491718248	"541/868/1482/2134/2413/2652/3609/3847/4071/4302/4355/4694/4930/4994/5127/5481/5592/5604/5829/5840/6237/6306/6383/7148/7162/7582/7638/7958/8268/9061/9445/9718/10402/11491/11533/11597/11663/12703/12859/13312/14053/14080/14398/14669/15942/16019/16193/16488/17182/17739/18178/18853/18937/18948/19162/19163/19304/19778/20590/20804/21221/21853/21939/22643/23293/23490/24510/24615/24700/24759/24862/24865/24924/25284/25426/25570/25734/26156/26339/26523/26772/27182/28494/28879/29400/30410/30620/31612/32002/32383/33326/33337"	92
"GO:170"	"GO:170"	"E2F4_MELCELLLINE_MM9"	"80/2019"	"356/12202"	0.00199881430845008	0.0312457426368388	0.0250747491718248	"24/169/633/974/1509/1628/2526/2597/2984/3029/3347/4355/4602/4878/5986/6114/6383/6651/6652/7729/7817/7943/8455/8461/8484/8502/8652/11022/11050/11421/11456/12211/12496/12625/12671/12991/13473/13716/13909/14429/14802/15714/16055/16097/16327/16388/16629/16720/17098/17189/17318/17356/19545/20298/20621/20666/20728/20942/21225/21309/21718/21795/24245/24604/24672/24865/24959/25634/26435/26896/26897/26916/26985/27149/27182/27402/29985/31294/31748/32414"	80
"GO:224"	"GO:224"	"FOXM1_ECC1_HG19"	"83/2019"	"372/12202"	0.00206195369816452	0.0312457426368388	0.0250747491718248	"974/1240/1604/1663/2040/2379/2563/3044/3369/3951/4052/4377/4537/4579/4749/5015/5840/5886/5986/6188/7048/7464/7582/7729/7821/8173/8484/8599/9004/9097/9214/9441/9699/10484/10564/10996/11663/12290/12754/14398/14429/15025/16316/16327/16388/16656/16720/17098/17189/17493/17543/17843/18937/18963/19162/19163/19807/20690/20775/20942/21224/21225/22538/22873/23531/23720/23959/23960/24604/24652/24865/24979/25570/26840/27262/27490/27697/28209/28705/29012/29568/29729/31293"	83
"GO:182"	"GO:182"	"EGR1_MCF7_HG19"	"103/2019"	"478/12202"	0.00216554651938487	0.0312457426368388	0.0250747491718248	"121/123/1509/1600/2134/2402/3472/3746/3803/3989/4214/5100/5774/5878/6084/6183/6278/6362/6497/7006/7252/7384/7403/7638/7817/8503/8511/9635/9816/9818/10298/10302/10767/10893/11292/11293/11391/11533/12033/12101/12754/13045/13205/13259/13421/13698/13730/14182/14198/14383/14589/14802/15521/15833/15942/16211/16754/17189/17737/17851/18766/18815/18937/19776/19786/20293/20497/20857/22203/22867/23532/23534/23642/23696/23974/24250/24647/24672/24700/24769/24959/25014/25263/25597/25661/25690/26156/26332/26339/26525/26656/26703/26807/27368/28389/28494/29012/30332/30520/31206/31950/32164/33326"	103
"GO:514"	"GO:514"	"TEN1.CDK3"	"46/2019"	"188/12202"	0.00324113846150332	0.0409193730764794	0.0328378502020731	"452/671/1332/4088/5127/6278/6362/6547/6648/6652/6984/7555/8455/8520/9445/10257/11001/11252/11635/12387/12472/13045/13588/14357/14462/14945/15194/16229/17303/18053/18346/19597/22474/22762/22840/22998/23376/24789/25695/26334/26356/26832/27332/28133/28384/31392"	46
"GO:437"	"GO:437"	"SERGEF"	"87/2019"	"401/12202"	0.00377460808776203	0.0412478112892476	0.0331014222956964	"153/452/671/775/792/1152/1332/2565/2666/4012/4088/4302/5127/5178/5544/5787/5818/6240/6278/6362/6383/6530/6547/6648/6652/6984/7068/7554/7555/8455/8520/8719/9445/9727/10257/10272/11001/11252/11635/11830/12070/12387/12472/12532/12859/13299/13519/13588/14183/14357/14398/15833/15949/16229/16754/17073/17303/17626/18053/18346/19224/19228/19278/19597/21397/21718/22474/22840/22998/23071/24353/24789/25695/26127/26156/26334/26703/26798/26832/27332/28133/28384/29780/30157/30939/31392/33326"	87
"GO:4"	"GO:4"	"ASF1A"	"62/2019"	"272/12202"	0.00431975058609258	0.0412478112892476	0.0331014222956964	"671/1562/1735/3201/3472/4088/5127/6652/6984/7218/7555/8580/9445/13588/14398/14462/14670/14914/14949/15703/15749/15833/15963/16211/16229/16316/16388/17852/18053/19424/20420/21563/21623/21678/21718/21891/22810/22840/22893/22998/23071/23219/23960/24230/25053/26656/26703/26840/27163/27868/27914/28133/28289/29433/29757/29780/30560/30796/30863/31392/31426/32002"	62
