"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:182"	"GO:182"	"EGR1_MCF7_HG19"	"71/1375"	"478/12202"	0.00870602100419602	0.463220349560496	0.463220349560496	"1645/1858/2402/2734/5419/5431/6183/6210/6615/6939/7006/7395/7638/7817/7818/7951/8089/8595/8879/11051/11427/11880/12101/12869/13383/13697/13897/14126/14326/14694/14939/15599/15833/16391/16690/18766/18937/19215/19751/20223/20857/21035/21513/21551/21667/22232/22367/22493/22673/23631/23983/23999/24182/24478/24814/25052/25597/26339/26653/27583/27698/27794/28023/28675/28679/28777/29074/29360/30008/30607/30881"	71
"GO:170"	"GO:170"	"E2F4_MELCELLLINE_MM9"	"55/1375"	"356/12202"	0.00917268018931676	0.463220349560496	0.463220349560496	"726/3242/3604/4355/4742/5305/7299/7817/7818/7870/8068/8455/9755/10897/12496/13473/13573/14502/14984/15599/15741/15860/15980/16388/16536/19245/19704/19761/20327/21002/21309/21717/22493/22677/22678/23551/24182/24220/24486/24604/24724/24965/25052/25287/26087/26603/26653/27905/28269/28570/29074/29250/30231/30495/30949"	55
"GO:40"	"GO:40"	"CEBPB_MYOCYTE_MM9"	"58/1375"	"395/12202"	0.020535409273962	0.587238300389698	0.587238300389698	"186/234/1222/2003/2691/2794/4228/4598/6265/6853/7072/7215/7481/7596/7598/7942/7956/8159/9060/9717/10818/10835/11963/13093/13272/13473/13573/14804/16391/16412/16503/16509/16843/17180/17254/17350/18075/18255/18581/18861/19918/21572/22752/23550/23785/24478/24534/24549/24812/24980/25051/25138/26697/27169/27548/28256/30607/32177"	58
"GO:299"	"GO:299"	"MAFK_MELCELLLINE_MM9"	"63/1375"	"437/12202"	0.0232569623916712	0.587238300389698	0.587238300389698	"387/1222/1400/1941/2051/2115/2559/4215/4276/4510/5453/5877/6615/6768/7086/7116/7380/7395/8107/8140/8227/8235/8473/9173/9637/10897/11597/11747/13171/13533/13762/14194/14711/14905/15745/16489/16812/18174/18648/19001/19152/19304/19911/20242/20528/20533/20857/21079/22334/22587/23551/24604/25051/25597/25648/26339/27653/27679/28253/28798/29341/30680/32177"	63
"GO:477"	"GO:477"	"STAT5A_K562_HG19"	"19/1375"	"111/12202"	0.0411188862877579	0.718559412461622	0.718559412461622	"87/301/1298/3338/5267/9060/13533/15969/17337/17666/18157/20364/21324/24746/25533/28256/28351/29984/30004"	19
"GO:285"	"GO:285"	"JUND_T47D_HG19"	"12/1375"	"64/12202"	0.0517744219648316	0.718559412461622	0.718559412461622	"1051/5840/6120/7582/11226/11765/13700/14569/16812/19304/24763/30231"	12
"GO:358"	"GO:358"	"NANOG_H1HESC_HG19"	"14/1375"	"79/12202"	0.0568340993149621	0.718559412461622	0.718559412461622	"708/7484/7755/7817/7818/10671/12848/14470/19409/23928/24549/25076/25224/25287"	14
"GO:217"	"GO:217"	"FOSL2_MCF7_HG19"	"31/1375"	"206/12202"	0.0569155970266631	0.718559412461622	0.718559412461622	"279/2489/3766/4818/6120/7120/7755/11226/13171/13897/14569/16506/17196/17543/18075/18576/18991/19215/19669/19949/20414/20421/22414/22511/23212/23917/23970/25312/27637/27653/30231"	31
"GO:227"	"GO:227"	"FOXP2_PFSK1_HG19"	"17/1375"	"108/12202"	0.0966623861908518	0.868125460849444	0.868125460849444	"374/1832/3131/3427/4572/8932/10897/13901/23557/24604/25048/25287/26600/26692/27936/30061/31596"	17
"GO:459"	"GO:459"	"SREBF1_HEPG2_HG19"	"43/1375"	"313/12202"	0.0975761462076283	0.868125460849444	0.868125460849444	"301/2538/3753/7215/7218/7232/8932/10896/11079/11963/12205/12469/12853/12988/13272/13412/15223/15670/16193/16375/18651/18937/18946/19245/20223/21035/21324/22057/22646/22824/22866/22893/23197/23631/23813/24000/24478/25224/25452/25533/26227/27611/31869"	43
"GO:224"	"GO:224"	"FOXM1_ECC1_HG19"	"50/1375"	"372/12202"	0.105288810161821	0.868125460849444	0.868125460849444	"921/1240/2298/2734/3242/3766/4742/5840/5865/5964/6120/6624/6657/7048/7464/7582/8068/9004/10660/11443/11525/11891/12161/12547/13700/13732/15604/16256/16388/16745/17543/18937/19409/19669/19704/19751/19761/20533/20775/21346/23889/23960/23997/24604/25052/25287/25431/25777/26227/32996"	50
"GO:213"	"GO:213"	"FOSL1_HCT116_HG19"	"27/1375"	"187/12202"	0.10552832225244	0.868125460849444	0.868125460849444	"712/2548/2741/7120/7243/7464/7655/7755/9411/10660/11226/12463/12547/12877/13171/16506/16959/17543/17655/19215/20487/22414/23970/25251/25355/25403/27796"	27
"GO:247"	"GO:247"	"GATA2_G1E_MM9"	"34/1375"	"244/12202"	0.111738920703394	0.868125460849444	0.868125460849444	"66/3933/4196/4277/5267/5289/6493/7011/7976/9060/11077/12107/13093/15604/16690/17388/19038/21629/23076/23811/23842/24478/25224/25256/25883/26037/26339/26682/27796/28006/28318/28631/28678/30004"	34
"GO:420"	"GO:420"	"REST_NEURALCELL_HG19"	"64/1375"	"499/12202"	0.146945168455996	0.98864033006598	0.98864033006598	"909/1377/2339/2538/2572/2691/2794/3427/4199/4692/5431/5704/5865/7061/7232/9616/10591/11079/11793/12382/12454/12988/13093/14939/15223/15273/15776/15980/16445/16667/17144/17595/18174/18576/18946/19288/19304/20609/20918/22057/22473/23090/23197/23409/23479/23785/23834/23889/23960/24814/26181/26692/27514/27637/27737/28121/28288/28290/28593/29447/29563/29606/30505/30881"	64
"GO:356"	"GO:356"	"MYOG_C2C12_MM9"	"26/1375"	"190/12202"	0.171139580933029	0.98864033006598	0.98864033006598	"186/455/909/5094/6734/7006/7598/7981/9616/10818/12716/13473/13895/13907/13954/14659/15875/16336/19949/20475/21302/25688/25988/26682/28425/28777"	26
"GO:226"	"GO:226"	"FOXM1_MCF7_HG19"	"15/1375"	"103/12202"	0.180352624446889	0.98864033006598	0.98864033006598	"279/1051/4742/5840/11226/11525/11955/14569/16745/19669/19761/23834/23960/25287/29153"	15
"GO:559"	"GO:559"	"ZKSCAN1_MELCELLLINE_MM9"	"22/1375"	"159/12202"	0.1810979981482	0.98864033006598	0.98864033006598	"870/6183/11056/11141/12284/12469/14694/15726/16818/17666/19628/19704/22023/25051/26796/27653/27796/28451/29447/31287/31508/32232"	22
"GO:416"	"GO:416"	"REST_HL60_HG19"	"13/1375"	"88/12202"	0.187878312152498	0.98864033006598	0.98864033006598	"2051/4938/6258/8089/8235/12005/13046/13528/20335/22232/23104/25251/26141"	13
"GO:513"	"GO:513"	"TEAD4_SKNSH_HG19"	"37/1375"	"284/12202"	0.194732629085438	0.98864033006598	0.98864033006598	"66/279/449/1788/2298/2559/2725/3668/4277/4818/5058/5865/6120/7970/8880/11725/12908/12970/13700/14520/14764/14863/15776/17655/17666/18603/19911/20414/20528/21079/22587/23335/23970/27698/27737/29715/31458"	37
"GO:160"	"GO:160"	"CUL2"	"22/1375"	"163/12202"	0.213696686506832	0.98864033006598	0.98864033006598	"234/279/645/726/2115/2298/2725/3961/6001/6183/6939/7218/7967/12547/15105/15223/16836/19597/22110/22893/24397/29193"	22
"GO:219"	"GO:219"	"FOXA1_ECC1_HG19"	"37/1375"	"290/12202"	0.232872056531205	0.98864033006598	0.98864033006598	"8/683/1696/2734/4609/5840/5865/6657/6768/7481/7561/8227/9184/9224/9411/11988/12970/13171/15664/16745/18255/19669/22367/22824/24236/24397/24570/25076/25287/25592/26600/26682/27637/27905/27963/30231/30928"	37
"GO:507"	"GO:507"	"TEAD4_A549_HG19"	"33/1375"	"258/12202"	0.243480941899367	0.98864033006598	0.98864033006598	"909/2559/3933/4522/4818/5267/6120/6183/7755/7942/7970/8821/9060/9224/11226/12205/12970/13700/17655/18603/20414/20528/21079/22057/22587/24478/27698/27963/28777/29516/29715/30231/31218"	33
"GO:512"	"GO:512"	"TEAD4_MCF7_HG19"	"12/1375"	"85/12202"	0.246262814516533	0.98864033006598	0.98864033006598	"279/2559/4818/5840/6120/11226/12970/13700/19911/20528/29153/30231"	12
"GO:278"	"GO:278"	"JUND_HCT116_HG19"	"22/1375"	"167/12202"	0.24882722611124	0.98864033006598	0.98864033006598	"712/2548/4522/5651/6434/7120/7243/7655/7755/11226/11765/12205/12463/17196/17543/17655/22414/23970/24674/25164/25403/26141"	22
"GO:266"	"GO:266"	"IRF3_HEPG2_HG19"	"61/1375"	"496/12202"	0.24904783637077	0.98864033006598	0.98864033006598	"301/726/1240/1377/2328/2339/2594/3110/4376/4392/4609/4856/5432/6832/7870/8089/9004/9616/11141/13412/13573/13871/14680/14984/15273/15599/16375/16388/16667/18931/18946/19628/19669/19704/19798/20414/21035/22232/22240/22646/23811/23957/23997/24520/25052/25287/25452/26258/26422/26697/26982/27169/27583/28006/28253/28391/28777/28981/29516/31869/32382"	61
"GO:510"	"GO:510"	"TEAD4_HEPG2_HG19"	"19/1375"	"143/12202"	0.256327444786969	0.98864033006598	0.98864033006598	"909/1788/4522/5144/9060/9184/11079/12970/13401/13573/13700/14244/15815/16388/17589/19040/21043/22057/29715"	19
"GO:460"	"GO:460"	"SREBF2_GM12878_HG19"	"31/1375"	"244/12202"	0.264289989225559	0.98864033006598	0.98864033006598	"1941/2051/4609/7976/11243/11963/12901/13901/13955/16801/17708/18603/20528/20550/20575/21043/22587/23197/24182/24534/25052/25452/25833/26422/27514/27963/27983/29715/29984/31336/32382"	31
"GO:293"	"GO:293"	"MAFK_GM12878_HG19"	"15/1375"	"112/12202"	0.277617997872334	0.98958245963895	0.98958245963895	"2051/5964/5997/6918/7011/7370/13762/13954/23090/23415/25648/25988/26339/28798/29141"	15
"GO:4"	"GO:4"	"ASF1A"	"34/1375"	"272/12202"	0.28465744716683	0.98958245963895	0.98958245963895	"1306/1562/2115/6610/7215/7218/8089/8879/10311/11525/12547/12984/13185/15833/15860/15955/16336/16388/16752/16836/17147/20420/20810/21035/21891/22324/22427/22893/23208/23889/23960/25381/28207/28326"	34
"GO:223"	"GO:223"	"FOXA2_HEPG2_HG19"	"29/1375"	"231/12202"	0.29539464099611	0.98958245963895	0.98958245963895	"189/909/1051/2985/3766/4228/4760/5144/5840/5865/6657/9184/11226/12205/14244/16157/16388/16391/19669/20528/22684/22784/23445/23917/24478/26383/27905/30061/30928"	29
"GO:556"	"GO:556"	"ZEB1_HEPG2_HG19"	"16/1375"	"125/12202"	0.332874013876053	0.98958245963895	0.98958245963895	"2408/2489/4665/6059/8505/14502/15105/17075/17953/20189/25988/26368/27585/29614/30808/30928"	16
"GO:325"	"GO:325"	"MEF2A_K562_HG19"	"21/1375"	"168/12202"	0.340364878682674	0.98958245963895	0.98958245963895	"301/1562/5913/6768/9696/9826/10591/10971/11243/11446/12205/14863/16390/17953/19409/22240/23475/23842/25052/25251/28798"	21
"GO:19"	"GO:19"	"BCL11A_H1HESC_HG19"	"9/1375"	"67/12202"	0.340690883933487	0.98958245963895	0.98958245963895	"9082/9224/10671/11765/18192/23928/24763/24862/25076"	9
"GO:378"	"GO:378"	"NR2F2_MCF7_HG19"	"47/1375"	"394/12202"	0.360339957995224	0.98958245963895	0.98958245963895	"279/873/1051/2489/2572/2594/4760/5431/5840/6608/6832/6853/6939/7006/7215/7816/8227/11079/11226/11891/11955/12469/12970/13005/13030/13193/13700/14618/16157/16355/16391/16690/18937/19152/20223/21002/21369/22232/23197/23785/24182/24862/26339/27653/27796/29250/29856"	47
"GO:397"	"GO:397"	"PTPRE"	"50/1375"	"426/12202"	0.400943577896857	0.98958245963895	0.98958245963895	"279/740/1555/2298/3592/3753/4856/6341/6948/7215/7232/7484/7951/7981/8324/8455/8879/8929/9184/9224/10311/11525/12984/12994/14249/14740/15105/15223/15833/15969/16167/16836/17099/17255/17833/17858/18165/18407/19597/22023/22324/23381/24674/25052/25381/26339/27332/27550/27917/28054"	50
"GO:390"	"GO:390"	"PAX5_GM12892_HG19"	"34/1375"	"288/12202"	0.413109611709072	0.98958245963895	0.98958245963895	"5644/6074/6937/7011/7072/7790/11243/11525/12469/13295/14599/15622/15745/16391/17666/18603/18766/19304/19588/19669/20478/21043/22234/22824/23842/24488/24763/27514/28256/29606/30830/31488/31746/32832"	34
"GO:251"	"GO:251"	"GATA3_A549_HG19"	"23/1375"	"193/12202"	0.420647214419117	0.98958245963895	0.98958245963895	"8/909/1562/1864/4277/4609/5840/5865/8227/11226/13697/13700/15664/22057/22367/22824/23475/24478/24570/25076/25224/26796/30505"	23
"GO:260"	"GO:260"	"HNF4G_HEPG2_HG19"	"46/1375"	"394/12202"	0.421798380178837	0.98958245963895	0.98958245963895	"873/2408/3110/4376/4522/5144/6059/6120/6939/7048/7956/8505/11082/11443/12161/13401/14244/14725/14938/15670/16157/16355/17953/18352/18937/19040/20478/20849/21035/21135/23917/24103/24220/24236/24570/24778/24818/24989/25853/26383/28391/29074/29115/29250/29663/29856"	46
"GO:576"	"GO:576"	"ZZZ3_GM12878_HG19"	"21/1375"	"177/12202"	0.435544826203605	0.98958245963895	0.98958245963895	"920/2572/6001/7011/7395/11095/11525/15843/17099/17666/18008/21043/21297/24534/24924/25051/25658/27227/29153/29983/29984"	21
"GO:328"	"GO:328"	"MOB3B"	"29/1375"	"248/12202"	0.445447592655412	0.98958245963895	0.98958245963895	"2115/2298/2725/4330/4750/4856/6183/6948/7596/7951/8018/9218/9552/9689/13093/13185/14721/15105/16336/16445/16836/19258/19304/20308/22110/26416/27332/28054/28326"	29
"GO:471"	"GO:471"	"STAT1_K562_HG19"	"25/1375"	"214/12202"	0.455800142455516	0.98958245963895	0.98958245963895	"3242/4349/7218/8205/8564/9964/10180/10494/10998/11525/12019/13030/13464/14764/16752/18075/18845/21324/21556/23785/28256/29715/29984/30869/30928"	25
"GO:218"	"GO:218"	"FOSL2_SKNSH_HG19"	"31/1375"	"267/12202"	0.458267793857616	0.98958245963895	0.98958245963895	"279/449/2003/2489/4609/4818/6050/6120/7120/7243/7755/7942/8880/10983/12908/13989/17337/17655/19761/20414/20528/21303/22414/23550/23970/25355/25403/26682/26748/27332/31218"	31
"GO:283"	"GO:283"	"JUND_MELCELLLINE_MM9"	"20/1375"	"174/12202"	0.498179837858438	0.98958245963895	0.98958245963895	"6183/6650/7942/10005/12205/12848/13419/13901/14725/18015/19304/22332/22583/24000/24763/25540/25988/27944/30004/31975"	20
