"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:170"	"GO:170"	"E2F4_MELCELLLINE_MM9"	"125/2637"	"356/12202"	2.04343822214396e-09	2.0638726043654e-07	1.76380983385058e-07	"142/974/1628/2597/2696/2773/2984/2995/3241/3347/3604/3859/4603/4968/4983/6114/6115/6248/6383/6438/6679/6764/7288/7817/7818/7870/7871/7896/7955/8502/8989/8990/9596/9966/10856/11421/11583/12302/12625/12670/12671/12727/12851/13091/13159/13716/13737/13909/13991/14502/14713/14753/14802/15078/15525/15860/15862/16272/16326/16388/17318/17340/17463/17777/17811/17837/18758/18921/19205/19378/19405/19704/19761/20103/20184/20237/20327/20372/20543/20603/20621/20647/20728/20855/20856/20942/21002/21225/21388/21726/21795/21892/22177/22179/22256/22449/22678/23551/24182/24245/24864/24865/25218/25247/25307/25634/25638/25641/25647/25881/26603/26903/26985/27214/27402/27489/27905/27973/28535/29958/29985/30426/30495/31294/32568"	125
"GO:224"	"GO:224"	"FOXM1_ECC1_HG19"	"117/2637"	"372/12202"	4.70298664097271e-06	0.000237500825369122	0.000202971002399875	"214/974/1240/1604/2298/2380/3951/4047/4049/4340/4377/4537/4579/4749/5015/5167/5676/5821/5865/6014/6188/6624/6657/6764/7464/8086/8173/8218/8240/8378/8599/9005/9699/9769/9799/10484/10844/11390/11525/11534/11585/11663/12570/12630/12823/12851/13732/13870/14358/14398/14755/14913/15525/15849/15862/16256/16316/16326/16388/16954/17543/17837/17843/18597/18963/19053/19102/19162/19163/19704/19761/19807/19888/20103/20687/20775/20942/21225/21726/21752/22177/22256/22735/23170/23437/23531/23721/23889/23959/23960/24037/24076/24169/24652/24865/24979/26018/26059/26233/26666/26903/27631/28352/28353/28705/29012/29568/29729/29897/29992/30337/30426/30631/30681/30979/32134/32996"	117
"GO:163"	"GO:163"	"DDX18"	"89/2637"	"296/12202"	0.000355638836414807	0.0119731741592985	0.0102324156442155	"647/731/846/941/1595/1725/2420/2594/2931/3156/3430/3961/4898/5061/5075/5205/5676/5687/5962/5990/6214/6248/6383/6539/6939/7071/7528/7614/8357/8664/8719/9579/9989/10407/11525/12744/14316/14385/14440/14914/14945/14949/15619/16336/16388/17577/17631/17707/17826/17882/18428/19262/19849/20327/20405/20602/21048/21441/21752/21891/21980/22114/22324/22474/22614/22802/23071/23889/23960/24379/24637/24979/26156/26650/26710/27049/28207/28414/29110/29278/29323/29391/29400/30681/31426/31617/31631/31889/33326"	89
"GO:433"	"GO:433"	"RXRA_GM12878_HG19"	"59/2637"	"183/12202"	0.000508637853946053	0.0128431058121378	0.0109758694798885	"26/214/402/403/1628/4071/4443/4930/5010/6764/6871/7068/8103/8427/9414/9799/9984/9995/10868/11008/11785/12630/12670/12671/13299/13716/14266/14365/14462/14493/15147/17083/18129/20372/20413/20446/21945/21946/22241/22986/23473/23952/24076/24659/25224/26018/27134/27361/27402/28318/30076/30556/30681/31146/31236/31294/32646/33326/33337"	59
"GO:372"	"GO:372"	"NR2C2_GM12878_HG19"	"108/2637"	"381/12202"	0.000989377010915707	0.0199854156204973	0.0170797715568606	"142/148/336/1601/1603/1719/2263/2330/2441/2521/2593/2617/3202/3347/3429/4126/4652/5884/6495/6854/6939/7001/7068/7174/7380/8502/10223/10302/10599/10600/11079/11080/11391/11792/11793/11989/12457/12472/12537/12969/13030/13101/13114/13249/13260/13335/13943/13993/14127/14175/14415/14440/14802/14885/15142/15354/15957/16801/17083/17435/17478/17670/17891/18053/18359/19548/20101/20918/21048/21915/22479/22644/22870/22894/23137/23157/23959/23960/24027/24028/24182/24559/24612/24630/25145/25229/25555/25647/25842/26059/26478/26963/26999/27361/27418/27547/28352/28353/28414/28980/29139/29572/29783/29856/31168/31617/32002/32382"	108
"GO:26"	"GO:26"	"BRCA1"	"107/2637"	"386/12202"	0.00234032595912874	0.0393954869786671	0.0336678471313257	"402/414/416/846/1595/1725/2593/2594/3202/3430/3629/4012/4268/4385/4537/4898/5061/5167/5962/6248/6339/6539/6835/7068/7071/7269/7446/7528/7555/8357/8556/8664/8693/8719/8830/9005/9563/9579/9727/9890/10147/10171/10340/11525/11737/12387/12532/13352/14318/14398/14440/14462/14729/14945/15078/15223/16211/16336/16357/16388/16781/16821/17073/17127/17381/17577/17631/18129/18428/18798/19378/19926/20095/20602/21623/22247/22457/22503/22614/22735/22825/23889/24225/24379/24559/24614/24979/25049/25053/25222/25381/25541/26127/26156/26710/27474/27531/27603/27973/28133/29163/29856/30332/30681/30837/31426/31889"	107
"GO:390"	"GO:390"	"PAX5_GM12892_HG19"	"82/2637"	"288/12202"	0.00332336051603857	0.0479513445885566	0.0409797838067914	"766/1626/1927/2448/3215/3254/3540/3623/4737/5694/5696/6074/6295/6764/7011/7072/7555/8103/9113/9414/10019/11008/11243/11389/11525/11873/11987/12061/12252/12347/12630/12706/13091/13352/13909/14398/14493/15974/16389/16391/16821/17140/17811/18428/18971/19362/19588/20237/20305/20444/20446/21026/21795/22137/22870/23157/23473/24152/24437/24659/24864/24950/25249/25482/25541/25968/25984/26726/27733/28119/28133/28919/28961/29017/29031/29110/29606/30337/31236/31294/31746/33337"	82
"GO:226"	"GO:226"	"FOXM1_MCF7_HG19"	"34/2637"	"103/12202"	0.00478877550009656	0.0604582906887191	0.0516683672378839	"214/1051/1108/3920/4377/4537/4579/4697/5676/5738/5821/8599/10257/10844/11390/11525/12570/15849/17843/19053/19761/20942/21726/21752/22821/23959/23960/26666/27795/28319/28705/29568/29729/30337"	34
"GO:576"	"GO:576"	"ZZZ3_GM12878_HG19"	"53/2637"	"177/12202"	0.00557415790350305	0.0625544386948675	0.0534597600102047	"1538/1801/2552/2933/3202/5205/5392/5673/5696/6114/6115/6386/6387/6568/7011/7645/7717/8214/8349/10186/11095/11525/11873/11987/12603/13993/14323/14398/14440/14869/15843/15863/16235/16272/16380/16488/20621/21134/21295/21297/22644/22788/23605/24234/24534/24924/25009/25454/25891/26156/29165/30347/31426"	53
"GO:577"	"GO:577"	"ZZZ3_HELAS3_HG19"	"39/2637"	"125/12202"	0.00773234567152213	0.0780966912823735	0.0667423521120858	"1538/2552/2933/5333/5673/6114/6115/6386/6387/6568/7011/7645/7717/7896/10186/10844/12777/14323/14398/14440/15863/16235/16272/16380/16488/19162/19163/20621/22577/22644/23605/23889/24234/24534/24924/25454/27489/30347/31426"	39
"GO:375"	"GO:375"	"NR2C2_K562_HG19"	"68/2637"	"244/12202"	0.0117263236034746	0.102379318507108	0.0874945713140478	"142/148/336/1719/2263/2330/2441/2521/2593/2617/3202/3347/3429/4126/6495/6854/7067/7068/7174/7175/7380/8502/10223/10302/11079/11080/11391/12969/13101/13249/13335/13943/13993/14127/14415/14802/14885/15354/16215/16801/17083/17435/17478/17670/17891/18053/19548/20918/21048/21915/22479/22870/22894/23137/24182/24612/24630/25145/25555/25647/26059/26999/27361/28352/28353/29783/31617/32002"	68
"GO:182"	"GO:182"	"EGR1_MCF7_HG19"	"124/2637"	"478/12202"	0.0121638794265871	0.102379318507108	0.0874945713140478	"214/227/414/1463/1600/2333/3746/3747/5915/5990/6160/6282/6362/6673/6764/6939/6965/7001/7403/7638/7785/7817/7818/8188/8511/8722/9703/9818/9870/9995/10302/10407/10767/11292/11391/11621/11880/12061/12457/12969/13259/13335/13480/13593/13993/14326/14383/14589/14694/14802/14862/14988/15921/16211/16215/16391/16716/17378/17648/17649/17737/18140/18275/18572/18574/18913/19215/19371/19378/19786/20094/20095/20293/20401/20497/20503/20819/21353/21388/21551/21667/21915/22868/23304/23480/23505/23532/23534/23632/23642/23696/23940/23950/24037/24182/24558/24630/24700/24811/25222/25454/25482/25555/25661/26156/26362/26650/26807/27349/27368/27436/27531/27698/29012/29030/30136/30222/30332/30342/30607/30681/30859/32164/33326"	124
"GO:32"	"GO:32"	"CEBPB_GM12878_HG19"	"91/2637"	"343/12202"	0.0162160213539893	0.125986012057917	0.107669129637824	"26/403/1801/2263/4071/4443/4710/5267/5696/7011/7071/7896/8664/8693/9563/9985/10313/10551/10596/10740/11525/11785/11792/11793/11873/12727/12777/12848/13425/13552/13886/13943/14127/14325/14680/14729/14862/15050/15117/15772/15863/16054/16235/16272/16404/16582/16821/17027/17455/17811/17858/17990/18948/19152/19521/19911/20647/21665/21852/21976/22457/22644/22821/23141/23212/23245/23250/23313/23484/23531/24234/24534/26018/26059/26156/26960/26961/27134/27361/27631/28318/28352/28353/29030/30120/30169/30717/31026/31675/33326/33337"	91
"GO:400"	"GO:400"	"RELA_GM12878_HG19"	"113/2637"	"437/12202"	0.0176939515226345	0.127649221699006	0.109090528184664	"343/402/403/731/961/1260/1336/1595/1733/2114/2419/2448/2550/4183/4329/4340/4537/4674/5275/5348/5646/5779/6114/6115/6160/6388/6568/6624/6764/6983/7088/7464/7528/7608/7847/8633/8664/9738/9985/10121/10125/10223/10257/10498/10596/11008/11989/12532/12602/12822/13005/13993/14273/14383/14420/14680/14694/14729/14966/14976/15068/15888/15937/16054/16357/16371/16388/16568/16582/16768/16820/17027/17152/17429/17455/17650/19152/19728/19764/20372/20621/20647/21565/21665/21733/22449/22788/23212/23313/23437/23721/23889/24237/24251/24379/24691/25145/25403/25842/25847/26545/26710/28778/29165/29708/30037/30076/30577/30583/30681/32519/33326/33337"	113
"GO:266"	"GO:266"	"IRF3_HEPG2_HG19"	"126/2637"	"496/12202"	0.0221507115729267	0.147258338090057	0.125848709988376	"414/1183/1240/1377/1444/1529/2328/2380/2594/4047/4049/4053/4340/4377/4392/5333/6014/6679/6698/6844/6910/7262/7412/7870/8086/8511/9005/9616/10222/10577/10578/11390/12162/12237/12252/12532/12570/12652/13068/13346/13408/13560/13831/13943/14151/14311/14385/14509/14680/14682/14869/14976/16170/16380/16388/16716/17181/17426/17811/18213/18359/18928/19188/19378/19704/19872/19888/20293/20503/20647/20687/20808/20942/21353/21441/21686/21726/21784/21796/21915/22241/22257/23137/23576/23636/23861/23957/24037/24076/24169/24520/24678/24820/24956/25451/25789/25874/26039/26139/26156/26335/26505/26530/26982/27049/27136/27169/27418/27537/27631/27716/28006/28352/28353/28981/29002/29540/29729/29879/30584/30859/31039/31653/32210/32382/32519"	126
"GO:464"	"GO:464"	"SRF_HCT116_HG19"	"70/2637"	"260/12202"	0.0233280535588209	0.147258338090057	0.125848709988376	"2263/2521/2984/4321/5220/5440/5673/6188/6495/7983/9440/9759/9962/10074/10223/10551/10844/11192/11520/12744/13335/13716/13793/13886/13909/13953/14127/14415/14885/14913/14976/16376/16488/17083/17312/17478/17670/18344/18758/18849/18850/19278/19412/19548/19756/20095/20372/22479/22515/22644/22678/22870/23950/23957/24109/24328/24515/24702/25138/25577/26902/26982/27136/27179/27631/27651/29856/30856/31675/33337"	70
"GO:420"	"GO:420"	"REST_NEURALCELL_HG19"	"126/2637"	"499/12202"	0.0264262135286262	0.157002798023014	0.134176440207266	"30/213/227/229/414/772/910/1377/1444/1475/1801/2593/2691/2892/2987/3429/3430/4199/4200/4443/5145/5292/5621/5673/5696/5704/5865/6192/6228/6344/6404/6965/7300/7329/7403/7429/7506/7645/7922/8719/9616/9818/10019/10767/11079/11218/11579/11792/11793/12010/12030/12382/12472/12845/13086/13426/13886/13993/14307/14493/14702/14707/14908/15068/15223/16044/16215/16716/16800/16820/17595/18174/18242/18264/18275/18576/18831/18850/18963/19371/19378/19663/19688/19756/20918/21225/21440/21575/21784/22057/22381/22577/23090/23304/23409/23889/23959/23960/24027/24037/24225/24234/24652/24666/24773/25121/25249/25416/25497/26028/26181/26510/26960/26961/27499/28091/28290/28535/28705/28842/29165/29323/29359/29540/29606/31006"	126
"GO:13"	"GO:13"	"ATG16L1"	"20/2637"	"62/12202"	0.0337417326335396	0.189328610888195	0.161802460581886	"402/577/731/4697/4898/8357/10147/14124/14316/14440/14945/15105/17882/18053/20444/21752/22825/23376/24637/28133"	20
