"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:372"	"GO:372"	"NR2C2_GM12878_HG19"	"81/1975"	"381/12202"	0.00490965158685751	0.261074646848733	0.242164080974854	"147/308/763/1228/2263/2935/4076/4128/4535/4852/4870/4925/5656/6700/6701/6935/7001/7672/7951/8090/8419/10223/10439/10473/10600/12221/12649/12857/13030/13100/13193/13335/13576/13952/14382/14942/15354/15635/15957/16679/17184/17185/17434/17670/18246/18361/18864/19878/20101/20493/20494/20524/20918/21122/22211/22372/22459/22541/22894/23345/24027/24028/24429/24480/24559/24612/24632/25061/25145/25284/25786/26478/26962/27359/28388/28903/28980/29515/30830/31324/31617"	81
"GO:238"	"GO:238"	"GABPA_MELCELLLINE_MM9"	"22/1975"	"79/12202"	0.00599657525910785	0.261074646848733	0.242164080974854	"1224/2562/4028/5635/7001/8265/12980/15149/15522/15570/19746/22211/23986/25446/25661/27137/29007/29017/30822/30841/32316/32648"	22
"GO:390"	"GO:390"	"PAX5_GM12892_HG19"	"62/1975"	"288/12202"	0.00970195757420709	0.261074646848733	0.242164080974854	"530/1626/2448/2935/3187/3215/3301/3858/3940/4600/4823/5635/5644/5694/5796/5987/6984/7790/7791/8103/8674/10335/10386/10935/11389/12252/12815/13037/13150/13352/13551/13915/14398/16733/17811/18819/19785/20237/21816/22062/22372/22459/22824/23081/24072/24152/24429/24489/24615/24864/25061/25813/25984/27137/27519/27971/28119/28578/29017/29780/30702/30830"	62
"GO:375"	"GO:375"	"NR2C2_K562_HG19"	"53/1975"	"244/12202"	0.0133857454733867	0.261074646848733	0.242164080974854	"147/308/763/1228/2263/2935/4076/4128/4535/4870/5656/6700/6701/6935/7175/7951/8090/8419/10223/10439/10473/12221/12649/12857/13100/13335/14382/14942/15354/16679/17434/17670/18864/19878/20493/20494/20524/20918/21122/22211/22459/22894/24429/24480/24612/24632/25061/25145/25284/27359/28388/29515/31617"	53
"GO:216"	"GO:216"	"FOSL2_HEPG2_HG19"	"40/1975"	"177/12202"	0.0155631429801103	0.261074646848733	0.242164080974854	"123/4751/6124/7300/7422/8182/8267/9184/10070/10147/10872/11191/11211/11289/13840/15023/16806/18985/21288/22372/22414/22447/22565/22586/23003/23243/23510/23547/23574/24614/24619/26080/26082/27642/28112/28688/28728/29007/29115/32316"	40
"GO:170"	"GO:170"	"E2F4_MELCELLLINE_MM9"	"73/1975"	"356/12202"	0.0169251526064099	0.261074646848733	0.242164080974854	"726/1199/1557/1628/3187/3301/3859/5305/5986/6114/6335/6679/7796/7817/7871/8730/9117/10347/11050/12671/13159/13573/13991/14502/14503/14984/15023/15599/15980/16097/16327/16395/16756/17148/17318/17340/17482/17811/18675/18864/18922/19205/19704/19761/19884/19965/20237/20666/21103/22678/23551/23598/24671/24672/24857/24864/25247/25307/26603/26896/26897/26920/27365/27489/27543/27905/27973/28120/28269/28653/30315/30638/31748"	73
"GO:299"	"GO:299"	"MAFK_MELCELLLINE_MM9"	"87/1975"	"437/12202"	0.0204785868689219	0.261074646848733	0.242164080974854	"654/1224/1941/2562/3388/3819/4028/4171/4267/5065/5547/5914/6473/6476/6542/6955/7301/7306/7947/8107/8140/8685/8994/9174/9700/10070/10216/10676/11494/11597/11701/12252/12277/12293/13425/15025/15149/15514/15522/15635/16489/16747/16811/16812/16841/17400/17555/18344/18871/18949/19200/19870/19911/20242/20666/20854/20946/21132/21184/21359/22372/22376/23243/23551/23598/23986/24072/24239/25015/25324/25982/26225/26542/26690/26724/27033/27048/27679/28059/28112/28903/30681/30862/31532/32134/32528/32648"	87
"GO:420"	"GO:420"	"REST_NEURALCELL_HG19"	"98/1975"	"499/12202"	0.0207673875290037	0.261074646848733	0.242164080974854	"30/1444/2444/2538/2684/2864/3430/3591/3637/3706/4655/4692/4694/4754/4909/4925/4959/5621/5656/5888/6604/6965/7057/7300/7506/7922/8174/8182/8674/8854/8933/9887/10118/10533/11579/11701/12030/12353/12988/13086/13205/13519/13721/13886/13915/14054/14635/14908/14939/15253/15272/15980/16237/16679/16716/16757/16806/17525/18264/18459/18946/19117/19688/19690/20524/20609/20666/20918/21348/21440/21504/22372/22473/22541/22577/23090/23338/23341/23889/24027/24225/24652/24773/25040/25497/25801/26021/26028/26337/26508/26896/27538/28100/28290/29166/29194/29323/30778"	98
"GO:27"	"GO:27"	"CACNG7"	"34/1975"	"150/12202"	0.0232640774419663	0.261074646848733	0.242164080974854	"680/1763/2061/2562/2931/3825/4898/6984/7175/7464/7596/7951/7967/10119/10371/11236/12655/12981/13362/19213/23385/24027/24240/24480/25335/25656/26263/26511/27482/27510/27716/29600/29897/32746"	34
"GO:212"	"GO:212"	"FOSL1_H1HESC_HG19"	"31/1975"	"137/12202"	0.0298763242736042	0.301750875163402	0.279893985300081	"649/1239/3166/3713/4685/4881/5010/6921/7175/12671/13255/13273/13830/13831/14162/16367/18581/19213/20295/20946/21612/23547/24207/24818/24819/25658/26668/27519/28296/28751/30728"	31
"GO:464"	"GO:464"	"SRF_HCT116_HG19"	"53/1975"	"260/12202"	0.0410779338930904	0.377170120291103	0.349850346075124	"64/514/530/2263/2684/3940/5986/5987/6531/7951/7984/8745/10223/10473/11192/11491/12744/12980/13221/13335/13886/15253/15804/16397/17400/17670/18196/18344/18631/19278/19412/20324/20368/20639/22368/22459/22668/22678/23547/25138/25284/25774/26022/26083/26682/27136/27359/30638/30856/31030/31674/31675/32648"	53
