"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:397"	"GO:397"	"PTPRE"	"79/1663"	"426/12202"	0.00231361620823686	0.189982463969878	0.182161403702228	"75/1332/1402/1521/1630/2062/3592/4086/4835/4856/5367/5491/6048/6278/6291/6362/7094/7232/7284/8357/8879/9767/10272/10812/11381/12295/12381/12387/12465/12472/12984/13213/14093/14397/14528/14740/14949/14988/15194/15223/15292/15969/17752/18076/18793/19213/19224/21015/21247/21674/21763/21916/22840/23381/23440/23853/23921/24242/24480/24674/25488/26022/26024/26339/26360/26585/26798/27037/27095/27137/27365/27370/27917/28903/29021/30157/32117/32387/32746"	79
"GO:160"	"GO:160"	"CUL2"	"35/1663"	"163/12202"	0.00376202898950253	0.189982463969878	0.182161403702228	"153/2257/2484/4086/4849/5842/6001/6043/6183/6278/6724/7071/8311/10407/10572/12547/12744/14949/14988/15123/15223/17752/19466/21829/22751/23914/24397/24480/25633/26242/27137/27370/29193/30837/31392"	35
"GO:26"	"GO:26"	"BRCA1"	"70/1663"	"386/12202"	0.00684798387178372	0.230548790350052	0.221057724983896	"1630/2594/3157/3248/3430/3592/3803/4062/4309/4849/5061/5372/5420/5491/5842/6248/6339/6835/7071/7094/7232/8311/8357/8556/8677/9002/9316/9890/10272/10916/12387/12547/14144/14896/15123/15223/15749/17122/17381/17752/18076/19304/19428/19466/20420/21247/21763/21829/22751/22840/23914/23921/24397/24614/25633/26022/26024/26088/26183/26242/26416/26710/27370/27531/27825/27973/28960/30837/31233/31732"	70
"GO:420"	"GO:420"	"REST_NEURALCELL_HG19"	"86/1663"	"499/12202"	0.0115424045964129	0.291445716059424	0.279447690228943	"30/120/630/772/782/1334/1377/1623/2444/2525/2556/2987/3079/3430/4199/4692/4754/4806/4925/5431/5860/5865/5922/7232/7429/7514/7645/7646/7710/9887/10342/10575/10767/11701/11773/11793/11977/12258/12381/12394/12454/12472/12835/12916/13470/14633/14908/15223/15253/15995/16164/16180/16215/16757/18341/18692/18831/18910/18946/19117/19304/19466/19702/20951/21105/21247/21566/21784/21999/23407/23479/23920/24242/24598/25148/25181/25295/25444/26337/26692/26972/28715/28842/29194/29323/29563"	86
"GO:16"	"GO:16"	"BACH2"	"56/1663"	"309/12202"	0.014611862338148	0.295159619230589	0.28300870212834	"75/1273/1332/1402/2062/4382/4856/6001/6291/6362/6652/7232/7284/8075/8357/8556/8879/11381/12295/12387/12465/12472/12984/13897/14093/14124/14740/14896/15123/15194/15223/16817/17252/17752/18076/19060/19213/19216/21763/22840/23853/24480/24674/25488/26024/26242/26339/26360/27095/27137/28960/30088/31392/32117/32387/32746"	56
"GO:42"	"GO:42"	"CEBPD_K562_HG19"	"70/1663"	"405/12202"	0.0198904562272372	0.33482267982516	0.321038942615057	"30/120/153/875/926/1757/2556/2987/3160/3254/3338/3933/4071/4887/5547/6001/6741/7245/7394/8428/8677/9207/9302/9414/10409/11433/11873/11963/12137/12995/13084/13953/15023/15066/15253/15995/16369/16396/17455/18076/18348/18853/19650/20174/20371/21398/21999/24020/24154/24478/24642/24683/24733/25562/26088/26242/26288/27365/27402/27888/28087/28171/28554/28779/29031/29032/30004/30622/31353/31732"	70
"GO:182"	"GO:182"	"EGR1_MCF7_HG19"	"80/1663"	"478/12202"	0.0278216830178753	0.401427140686487	0.384901479345042	"742/875/1463/1509/1630/2134/2402/3325/3803/3898/4131/5419/5431/5869/6183/6278/6362/7006/7245/7284/7395/8089/8352/8513/8879/9002/9241/9870/9995/10407/10767/10893/12101/12497/13897/14182/14369/14481/14703/14988/15599/16215/17713/17853/17942/18131/18913/19111/19713/19811/19814/19867/21513/21667/21816/22493/22594/23505/23974/23983/24182/24478/24598/24811/25181/25226/25263/25454/25556/26183/26339/26414/26653/27404/27531/28554/29012/29183/29885/32387"	80
"GO:261"	"GO:261"	"HSF1_HEPG2_HG19"	"27/1663"	"141/12202"	0.0405852572982916	0.512388873390931	0.491295219926687	"346/630/1864/2134/3525/4498/4519/7311/14144/14488/15023/20528/21925/22375/23324/23921/24000/24628/26060/26088/26183/26519/29035/29629/32103/32387/32557"	27
"GO:243"	"GO:243"	"GATA1_K562_HG19"	"72/1663"	"437/12202"	0.0475911123556856	0.534078038658249	0.51209150137112	"346/362/3254/3338/3933/4175/5018/5348/5985/6126/6256/6619/6652/6812/7514/7596/7968/8704/9302/9795/10058/11004/11314/11603/11776/12193/12901/14122/14488/14703/15086/15867/16523/16898/16956/17612/18910/18968/19117/19151/19428/19811/20113/20420/20595/21180/21236/21398/22004/23096/23212/23324/23330/23381/24303/24478/24549/25033/25148/25485/25562/25754/26339/26541/27891/28498/29844/30004/30622/31512/31692/32383"	72
"GO:340"	"GO:340"	"MYB_MELCELLLINE_MM9"	"71/1663"	"440/12202"	0.0703585204457791	0.553157283528071	0.530385305727801	"742/875/938/1641/1950/3160/3426/3644/4372/4393/5554/5675/6120/6146/6523/7645/7646/8461/9244/9302/9316/10047/10058/10064/10705/10839/11236/11470/11617/11970/13106/13952/14144/14908/15630/16333/16747/16936/18481/19320/19733/19814/20611/20649/20695/20856/20874/21038/21585/21816/21945/22615/22653/23510/23914/23974/23975/24678/24818/25446/25633/26541/27196/27402/27404/27799/29058/30622/31235/31455/32557"	71
