ID	Date	Time	Weight	AST	LDH	ALT	WBC	LY..	MO..	GR..	LY.	MO.	GR.	RBC	Hgb	Hct	MCV	MCH	MCHC	RDW	Plt	MPV	...24	GLU.H	time	rowname	ident	quad
27	15-501	2018-07-27	01:20:00	8.4499999999999993	28.6	3730	6.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.8	NA	NA	NA	NA	NA	NA	NA	NA	5	15-5_1_5	1	15-5
28	15-502	2018-04-06	11:13:00	8.9499999999999993	10	643	6.6	6.1	43.2	34.700000000000003	22.1	2.6	2.1	1.3	5.53	10.199999999999999	32.1	58	18.399999999999999	31.7	17.600000000000001	613	NA	NA	NA	2	15-5_2_2	2	15-5
29	15-502	2018-05-02	11:31:00	8.8000000000000007	41.4	726	29.4	7.7	47.9	36.5	15.6	3.7	2.8	1.2	5.0599999999999996	9.3000000000000007	29.3	57.9	18.5	31.9	18	642	NA	NA	NA	3	15-5_2_3	2	15-5
30	15-502	2018-06-29	10:50:00	NA	6.8	777	NA	4.0999999999999996	40.700000000000003	28.1	31.2	1.7	NA	NA	5.24	9.1	30.6	58.4	17.5	29.9	16.8	674	6.1	NA	NA	4	15-5_2_4	2	15-5
31	15-502	2018-07-27	01:21:00	8	19.8	2160	7.5	4.8	NA	NA	NA	NA	NA	NA	NA	NA	24.7	NA	NA	NA	NA	NA	NA	NA	NA	5	15-5_2_5	2	15-5
32	15-503	2018-04-06	11:16:00	9	10.4	749	NA	6.6	41.7	33.5	24.8	2.8	2.2000000000000002	1.6	5.74	11	33.6	58.5	19.100000000000001	32.6	17.399999999999999	674	NA	NA	NA	2	15-5_3_2	3	15-5
33	15-503	2018-05-02	11:34:00	8.75	8	795	5.9	6.6	41.9	37.700000000000003	20.399999999999999	2.8	2.5	1.3	5.25	9.6999999999999993	30.6	58.2	18.5	31.7	17	689	NA	NA	NA	3	15-5_3_3	3	15-5
34	15-504	2018-04-06	11:19:00	8.1999999999999993	12.9	716	12.6	NA	56.7	25.8	17.5	NA	NA	NA	5.98	11.1	34.4	57.5	18.5	32.200000000000003	17.2	640	NA	NA	NA	2	15-5_4_2	4	15-5
35	15-504	2018-05-02	11:36:00	8.1999999999999993	13.3	665	6.6	4	53.1	34.799999999999997	12.1	2.1	1.4	0.5	5.05	9.1999999999999993	28.8	57	18.3	32.1	17.100000000000001	636	NA	NA	NA	3	15-5_4_3	4	15-5
36	15-504	2018-06-29	10:52:00	8.1999999999999993	13.3	665	6.6	2.9	49.2	32.799999999999997	18	1.4	1	0.5	5.35	9.4	30.6	57.1	17.5	30.7	16.399999999999999	707	NA	NA	NA	4	15-5_4_4	4	15-5
